address	old_name	expected_new_name	actual_name	status
0x0041ad10	CUnitAI__Unk_0041ad10	CMCTentacle__Helper_0041ad10	CMCTentacle__Helper_0041ad10	OK
0x00423910	CUnitAI__Unk_00423910	CMeshPart__Helper_00423910	CMeshPart__Helper_00423910	OK
0x00423960	CUnitAI__Unk_00423960	CMeshPart__Helper_00423960	CMeshPart__Helper_00423960	OK
0x004239b0	CUnitAI__Unk_004239b0	CWorld__Helper_004239b0	CWorld__Helper_004239b0	OK
0x00426fd0	CUnitAI__Unk_00426fd0	CFastVB__Helper_00426fd0	CFastVB__Helper_00426fd0	OK
0x0042e750	CUnitAI__Unk_0042e750	CGame__Helper_0042e750	CGame__Helper_0042e750	OK
0x004404f0	CUnitAI__Unk_004404f0	CThing__Helper_004404f0	CThing__Helper_004404f0	OK
0x00441b10	CUnitAI__Unk_00441b10	CGame__Helper_00441b10	CGame__Helper_00441b10	OK
0x0044a5f0	CUnitAI__Unk_0044a5f0	CDXEngine__Helper_0044a5f0	CDXEngine__Helper_0044a5f0	OK
0x0044a930	CUnitAI__Unk_0044a930	OID__Helper_0044a930	OID__Helper_0044a930	OK
0x0044c1c0	CUnitAI__Unk_0044c1c0	CMesh__Helper_0044c1c0	CMesh__Helper_0044c1c0	OK
0x0044d390	CUnitAI__Unk_0044d390	CFEPSaveGame__Helper_0044d390	CFEPSaveGame__Helper_0044d390	OK
0x00452fd0	CUnitAI__Unk_00452fd0	CFEPMultiplayerStart__Helper_00452fd0	CFEPMultiplayerStart__Helper_00452fd0	OK
0x00453140	CUnitAI__Unk_00453140	CFEPMultiplayerStart__Helper_00453140	CFEPMultiplayerStart__Helper_00453140	OK
0x00465a20	CUnitAI__Unk_00465a20	CFEPLanguageTest__Helper_00465a20	CFEPLanguageTest__Helper_00465a20	OK
0x004693d0	CUnitAI__Unk_004693d0	CFEPMain__Helper_004693d0	CFEPMain__Helper_004693d0	OK
0x0046a2a0	CUnitAI__Unk_0046a2a0	CFEPSaveGame__Helper_0046a2a0	CFEPSaveGame__Helper_0046a2a0	OK
0x0047c970	CUnitAI__Unk_0047c970	CCannon__Helper_0047c970	CCannon__Helper_0047c970	OK
0x00482090	CUnitAI__Unk_00482090	CExplosionInitThing__Helper_00482090	CExplosionInitThing__Helper_00482090	OK
0x004885e0	CUnitAI__Unk_004885e0	CVBufTexture__Helper_004885e0	CVBufTexture__Helper_004885e0	OK
0x00490a40	CUnitAI__Unk_00490a40	CStaticShadows__Helper_00490a40	CStaticShadows__Helper_00490a40	OK
0x0049c2d0	CUnitAI__Unk_0049c2d0	CMeshPart__Helper_0049c2d0	CMeshPart__Helper_0049c2d0	OK
0x004b7ca0	CUnitAI__Unk_004b7ca0	IScript__Helper_004b7ca0	IScript__Helper_004b7ca0	OK
0x004c0450	CUnitAI__Unk_004c0450	CParticleDescriptor__Helper_004c0450	CParticleDescriptor__Helper_004c0450	OK
