address	old_name	inferred_owner	xref_count	top_counts
0x00504a50	CVBufTexture__Unk_00504a50		1
0x00504b40	CVBufTexture__Unk_00504b40		1
0x00504cf0	CVBufTexture__Unk_00504cf0		1
0x00504d30	CVBufTexture__Unk_00504d30		1
0x0050a0e0	CVBufTexture__Unk_0050a0e0	OID	2	OID:2
0x0050a290	CVBufTexture__Unk_0050a290	CUnit	3	CUnit:2
0x0050a870	CVBufTexture__Unk_0050a870		1
0x0050a9c0	CVBufTexture__Unk_0050a9c0		1
0x0050ab60	CVBufTexture__Unk_0050ab60		1	CDXEngine:1
0x00511bc0	CVBufTexture__Unk_00511bc0		1	CUnit:1
0x00511c10	CVBufTexture__Unk_00511c10		1
0x00511ca0	CVBufTexture__Unk_00511ca0		1	CWorldPhysicsManager:1
0x00511d20	CVBufTexture__Unk_00511d20		1	CWorldPhysicsManager:1
0x00511db0	CVBufTexture__Unk_00511db0	CWorldPhysicsManager	2	CWorldPhysicsManager:2
0x00512040	CVBufTexture__Unk_00512040		1	CLTShell:1
0x00512470	CVBufTexture__Unk_00512470		2	CFrontEnd:1;CGame:1
0x00512490	CVBufTexture__Unk_00512490		1	PLATFORM:1
0x00512630	CVBufTexture__Unk_00512630		1	Platform:1
0x00512ca0	CVBufTexture__Unk_00512ca0		10	CDXLandscape:1;CDXMeshVB:1;CDXShadows:1;CDXTrees:1;CIBuffer:1
0x00512cc0	CVBufTexture__Unk_00512cc0	CDXLandscape	11	CDXLandscape:2;CDXMeshVB:1;CDXShadows:1;CDXSurf:1;CDXTrees:1
0x00512fc0	CVBufTexture__Unk_00512fc0		1	PlatformInput:1
0x005230e0	CVBufTexture__Unk_005230e0		11
0x005234d0	CVBufTexture__Unk_005234d0	PlatformInput	2	PlatformInput:2
0x005234e0	CVBufTexture__Unk_005234e0		1
0x00523a70	CVBufTexture__Unk_00523a70	CDXEngine	5	CDXEngine:2;CEngine:1;CFrontEnd:1;CMessageLog:1
0x00523b30	CVBufTexture__Unk_00523b30		1	CLTShell:1
0x00523b50	CVBufTexture__Unk_00523b50	CDXEngine	4	CDXEngine:2;CUnitAI:1;ControlsUI:1
0x00523bc0	CVBufTexture__Unk_00523bc0		2	CUnitAI:1
0x00523cc0	CVBufTexture__Unk_00523cc0		14	CDXEngine:3;CMessageLog:3;CControllerDefinition:2;CFEPMultiplayerStart:2;CFrontEnd:2
0x00523d40	CVBufTexture__Unk_00523d40		2	CFEPDirectory:1;CFrontEnd:1
0x00523df0	CVBufTexture__Unk_00523df0		1
0x00524180	CVBufTexture__Unk_00524180		2
0x00527960	CVBufTexture__Unk_00527960	CFEPMultiplayerStart	2	CFEPMultiplayerStart:2
0x00527990	CVBufTexture__Unk_00527990	CGame	4	CGame:2;CFEPMultiplayerStart:1;CFrontEnd:1
0x00527c50	CVBufTexture__Unk_00527c50	CFrontEnd	3	CFrontEnd:2;CGame:1
0x00527c90	CVBufTexture__Unk_00527c90		8
0x00527cc0	CVBufTexture__Unk_00527cc0	CWaterRenderSystem	13	CWaterRenderSystem:4;CDXBattleLine:3;CDXLandscape:3;CDXMeshVB:2;CDXSurf:1
0x00527d20	CVBufTexture__Unk_00527d20	CDXLandscape	12	CDXLandscape:4;CDXBattleLine:3;CDXMeshVB:2;CDXSurf:2;CWaterRenderSystem:1
0x00527da0	CVBufTexture__Unk_00527da0		14	CDXLandscape:4;CWaterRenderSystem:4;CDXBattleLine:3;CDXMeshVB:2;CDXSurf:1
0x00527dd0	CVBufTexture__Unk_00527dd0	CDXEngine	9	CDXEngine:4;CDXLandscape:2;CWaterRenderSystem:2;CRenderQueue:1
0x00528b60	CVBufTexture__Unk_00528b60		1	CBinkOpenThread:1
0x0052cd20	CVBufTexture__Unk_0052cd20	CD3DApplication	11	CD3DApplication:7
0x0053c510	CVBufTexture__Unk_0053c510		1	CExplosionInitThing:1
0x0053f0a0	CVBufTexture__Unk_0053f0a0		2	CDXFMV:1
