target_addr	target_name	from_addr	from_function	ref_type
0050abb0	CWorld__Unk_0050ada0	0046cbfd	CGame__ShutdownRestartLoop	UNCONDITIONAL_CALL
0050abc0	CWorld__Unk_0050abc0	004f4271	CThing__SetSound	UNCONDITIONAL_CALL
0050ada0	CWorld__Unk_0050ada0	0050abb0	CWorld__Unk_0050ada0	UNCONDITIONAL_JUMP
0050af70	CWorld__Unk_0050af70	005358a4	<no_function>	UNCONDITIONAL_CALL
0050af70	CWorld__Unk_0050af70	0043f386	CCutscene__Start	UNCONDITIONAL_CALL
0050af70	CWorld__Unk_0050af70	005367ee	<no_function>	UNCONDITIONAL_CALL
0050af70	CWorld__Unk_0050af70	005369fa	<no_function>	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	00447ade	CUnitAI__Unk_00447ac0	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	0044cb44	CFeature__VFunc_09_0044ca30	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	0050494c	CWarspiteDome__Init	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	00417375	<no_function>	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	004183ba	<no_function>	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	004bbd94	CNamedMesh__VFunc_09_004bbcd0	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	0041b32c	CCannon__Init	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	0047e699	<no_function>	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	004debdd	<no_function>	UNCONDITIONAL_CALL
0050b010	CWorld__Unk_0050b010	004dfa94	<no_function>	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	00417879	VFuncSlot_02_00417870	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	00418459	CByteSprite__vfunc_stub	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	004bc059	CNamedMesh__VFunc_02_004bc050	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	0041b459	CCannon__Destructor	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	00447109	CDropship__VFunc_02_00447100	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	00447b47	CUnitAI__Unk_00447b10	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	0044cbf4	CFeature__VFunc_02_0044cbe0	UNCONDITIONAL_CALL
0050b020	CWorld__Unk_0050b020	0047e701	CHazard__VFunc_02_0047e6e0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	0053eafb	CDXEngine__Render	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	0040bf1d	CBattleEngine__Helper_0040b6d0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	00499cfd	CMCMech__GetFootHeight	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	0040954e	CMonitor__Unk_004081c0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	0040b023	CBattleEngine__Helper_0040acc0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	00426be0	CCollisionSeekingRound__CreateEffect	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	00507ff0	OID__Unk_00507ab0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	0050856e	OID__Unk_00507ab0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	005085d9	OID__Unk_00507ab0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	00508860	OID__Unk_00507ab0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	005090ea	OID__Unk_005088b0	UNCONDITIONAL_CALL
0050b030	CWorld__Unk_0050b030	004f9d03	CUnit__ApplyDamage	UNCONDITIONAL_CALL
0050d680	CWorld__Unk_0050d680	0050adc9	CWorld__Unk_0050ada0	UNCONDITIONAL_CALL
0050d680	CWorld__Unk_0050d680	0050ade0	CWorld__Unk_0050ada0	UNCONDITIONAL_CALL
