address	old_name	inferred_owner	xref_count	top_counts
0x0050ef30	CWorldPhysicsManager__Unk_0050ef30		1	CCarrier:1
0x0050f030	CWorldPhysicsManager__Unk_0050f030		1	CBigAirUnit:1
0x0050f440	CWorldPhysicsManager__Unk_0050f440		1	CAirUnit:1
0x0050f630	CWorldPhysicsManager__Unk_0050f630		1	CRelaxedSquad:1
0x0050f680	CWorldPhysicsManager__Unk_0050f680	CSpawnerThng	2	CSpawnerThng:2
0x0050f8d0	CWorldPhysicsManager__Unk_0050f8d0		1	CMissile:1
0x0050fd90	CWorldPhysicsManager__Unk_0050fd90		1	CComponent:1
0x0050fe10	CWorldPhysicsManager__Unk_0050fe10		1	CGillMHead:1
0x0050fe90	CWorldPhysicsManager__Unk_0050fe90		1	CTentacle:1
0x0050fff0	CWorldPhysicsManager__Unk_0050fff0		1	CExplosion:1
0x00510250	CWorldPhysicsManager__Unk_00510250		1	CHazard:1
0x00510520	CWorldPhysicsManager__Unk_00510520		1	CGame:1
0x00510740	CWorldPhysicsManager__Unk_00510740		1	CGame:1
0x00510800	CWorldPhysicsManager__Unk_00510800		1	CLTShell:1
0x00510a90	CWorldPhysicsManager__Unk_00510a90		2	CLTShell:1
0x00510e60	CWorldPhysicsManager__Unk_00510e60		1
0x00510eb0	CWorldPhysicsManager__Unk_00510eb0		1
0x00510f10	CWorldPhysicsManager__Unk_00510f10		1
0x00511040	CWorldPhysicsManager__Unk_00511040		1
0x00511070	CWorldPhysicsManager__Unk_00511070		1
0x005110f0	CWorldPhysicsManager__Unk_005110f0		2
0x005113a0	CWorldPhysicsManager__Unk_005113a0		1
0x005113f0	CWorldPhysicsManager__Unk_005113f0	CWeaponRound	2	CWeaponRound:2
0x00511440	CWorldPhysicsManager__Unk_00511440		1	CSpawnerThng:1
0x00511510	CWorldPhysicsManager__Unk_00511510	CUnit	7	CUnit:4;CSpawnerThng:3
0x005115b0	CWorldPhysicsManager__Unk_005115b0		3	CDestroyableSegment:1
0x00511720	CWorldPhysicsManager__Unk_00511720		2
0x005117c0	CWorldPhysicsManager__Unk_005117c0		2
0x00511860	CWorldPhysicsManager__Unk_00511860		1
