address	name	signature
0x0050ef30	CWorldPhysicsManager__Unk_0050ef30	void __fastcall CWorldPhysicsManager__Unk_0050ef30(int param_1)
0x0050f030	CWorldPhysicsManager__Unk_0050f030	void __fastcall CWorldPhysicsManager__Unk_0050f030(int param_1)
0x0050f440	CWorldPhysicsManager__Unk_0050f440	void __fastcall CWorldPhysicsManager__Unk_0050f440(int param_1)
0x0050f630	CWorldPhysicsManager__Unk_0050f630	void __fastcall CWorldPhysicsManager__Unk_0050f630(int param_1)
0x0050f680	CWorldPhysicsManager__Unk_0050f680	int __cdecl CWorldPhysicsManager__Unk_0050f680(int param_1)
0x0050f8d0	CWorldPhysicsManager__Unk_0050f8d0	void __fastcall CWorldPhysicsManager__Unk_0050f8d0(void * param_1)
0x0050fd90	CWorldPhysicsManager__Unk_0050fd90	void __fastcall CWorldPhysicsManager__Unk_0050fd90(int param_1)
0x0050fe10	CWorldPhysicsManager__Unk_0050fe10	void __fastcall CWorldPhysicsManager__Unk_0050fe10(int param_1)
0x0050fe90	CWorldPhysicsManager__Unk_0050fe90	void __fastcall CWorldPhysicsManager__Unk_0050fe90(int param_1)
0x0050fff0	CWorldPhysicsManager__Unk_0050fff0	void __fastcall CWorldPhysicsManager__Unk_0050fff0(int param_1)
0x00510250	CWorldPhysicsManager__Unk_00510250	void CWorldPhysicsManager__Unk_00510250(void)
0x00510520	CWorldPhysicsManager__Unk_00510520	void CWorldPhysicsManager__Unk_00510520(void)
0x00510740	CWorldPhysicsManager__Unk_00510740	void CWorldPhysicsManager__Unk_00510740(void)
0x00510800	CWorldPhysicsManager__Unk_00510800	void CWorldPhysicsManager__Unk_00510800(void)
0x00510a90	CWorldPhysicsManager__Unk_00510a90	void CWorldPhysicsManager__Unk_00510a90(void)
0x00510e60	CWorldPhysicsManager__Unk_00510e60	void __fastcall CWorldPhysicsManager__Unk_00510e60(void * param_1)
0x00510eb0	CWorldPhysicsManager__Unk_00510eb0	void __fastcall CWorldPhysicsManager__Unk_00510eb0(int param_1)
0x00510f10	CWorldPhysicsManager__Unk_00510f10	void __fastcall CWorldPhysicsManager__Unk_00510f10(void * param_1)
0x00511040	CWorldPhysicsManager__Unk_00511040	void __fastcall CWorldPhysicsManager__Unk_00511040(void * param_1)
0x00511070	CWorldPhysicsManager__Unk_00511070	void __fastcall CWorldPhysicsManager__Unk_00511070(int param_1)
0x005110f0	CWorldPhysicsManager__Unk_005110f0	void __fastcall CWorldPhysicsManager__Unk_005110f0(int param_1)
0x005113a0	CWorldPhysicsManager__Unk_005113a0	void __fastcall CWorldPhysicsManager__Unk_005113a0(int param_1)
0x005113f0	CWorldPhysicsManager__Unk_005113f0	void __thiscall CWorldPhysicsManager__Unk_005113f0(void * this, int param_1, int param_2)
0x00511440	CWorldPhysicsManager__Unk_00511440	int __cdecl CWorldPhysicsManager__Unk_00511440(void * param_1)
0x00511510	CWorldPhysicsManager__Unk_00511510	int __cdecl CWorldPhysicsManager__Unk_00511510(int param_1)
0x005115b0	CWorldPhysicsManager__Unk_005115b0	int __cdecl CWorldPhysicsManager__Unk_005115b0(void * param_1)
0x00511720	CWorldPhysicsManager__Unk_00511720	void __thiscall CWorldPhysicsManager__Unk_00511720(void * this, int param_1, void * param_2)
0x005117c0	CWorldPhysicsManager__Unk_005117c0	void __thiscall CWorldPhysicsManager__Unk_005117c0(void * this, int param_1, void * param_2)
0x00511860	CWorldPhysicsManager__Unk_00511860	void __thiscall CWorldPhysicsManager__Unk_00511860(void * this, int param_1, void * param_2)
