address	old_name	top_owner	top_owner_count	self_count	owner_counter
0x0050f440	CWorldPhysicsManager__Unk_0050f440	CAirUnit	1	0	CAirUnit:1
0x0040f2f0	CCockpit__Unk_0040f2f0	CBattleEngine	1	0	CBattleEngine:1
0x00411e70	CCockpit__Unk_00411e70	CBattleEngine	1	0	CBattleEngine:1
0x00412cf0	CCockpit__Unk_00412cf0	CBattleEngine	1	0	CBattleEngine:1
0x004124d0	CGeneralVolume__Unk_004124d0	CBattleEngine	1	0	CBattleEngine:1
0x004145f0	CGeneralVolume__Unk_004145f0	CBattleEngine	1	0	CBattleEngine:1
0x004ad7f0	CInfluenceMap__Unk_004ad7f0	CBattleEngine	1	0	CBattleEngine:1
0x0050f030	CWorldPhysicsManager__Unk_0050f030	CBigAirUnit	1	0	CBigAirUnit:1
0x004f3a70	CThing__Unk_004f3a70	CCSPersistentThing	1	0	CCSPersistentThing:1
0x0050ef30	CWorldPhysicsManager__Unk_0050ef30	CCarrier	1	0	CCarrier:1
0x0050f340	CAirUnit__Unk_0050f340	CCarver	1	0	CCarver:1
0x0050fd90	CWorldPhysicsManager__Unk_0050fd90	CComponent	1	0	CComponent:1
0x00540970	CDXEngine__Unk_00540970	CConsole	1	0	CConsole:1
0x0050af70	CWorld__Unk_0050af70	CCutscene	1	0	CCutscene:1
0x00444330	CDestroyableSegment__Unk_00444330	CDXCompass	1	0	CDXCompass:1
0x0055e902	CDXTexture__Unk_0055e902	CDXEngine	1	0	CDXEngine:1
0x00440eb0	CDamage__Unk_00440eb0	CDXEngine	1	0	CDXEngine:1
0x00440f80	CDamage__Unk_00440f80	CDXEngine	1	0	CDXEngine:1
0x00414cb0	CExplosionInitThing__Unk_00414cb0	CDXEngine	1	0	CDXEngine:1
0x004879e0	CExplosionInitThing__Unk_004879e0	CDXEngine	1	0	CDXEngine:1
0x004a17b0	CMemoryManager__Unk_004a17b0	CDXEngine	1	0	CDXEngine:1
0x004b93f0	CMessageLog__Unk_004b93f0	CDXEngine	1	0	CDXEngine:1
0x0050ab60	CVBufTexture__Unk_0050ab60	CDXEngine	1	0	CDXEngine:1
0x0053f0a0	CVBufTexture__Unk_0053f0a0	CDXFMV	1	0	CDXFMV:1
0x004ab330	CMesh__Unk_004ab330	CDXImposter	1	0	CDXImposter:1
0x00547a60	CDXEngine__Unk_00547a60	CDXLandscape	1	0	CDXLandscape:1
0x0055db72	CFastVB__Unk_0055db72	CDXLandscape	1	0	CDXLandscape:1
0x0056f520	CFastVB__Unk_0056f520	CDXMeshVB	1	0	CDXMeshVB:1
0x0057ca3a	CMeshCollisionVolume__Unk_0057ca3a	CDXTexture	1	0	CDXTexture:1
0x00591340	CMeshCollisionVolume__Unk_00591340	CDXTexture	1	0	CDXTexture:1
0x0056c981	___Unk_0056c981	CDXTexture	1	0	CDXTexture:1
0x00488aa0	CIBuffer__Unk_00488aa0	CDXTrees	1	0	CDXTrees:1
0x00442ac0	CDestructableSegment__Unk_00442ac0	CDestroyableSegment	1	0	CDestroyableSegment:1
0x0050f2d0	CAirUnit__Unk_0050f2d0	CDiveBomber	1	0	CDiveBomber:1
0x0050f1f0	CAirUnit__Unk_0050f1f0	CDropship	1	0	CDropship:1
0x00544040	CDXEngine__Unk_00544040	CEngine	1	0	CEngine:1
0x00407940	CGeneralVolume__Unk_00407940	CEngine	1	0	CEngine:1
0x0050fff0	CWorldPhysicsManager__Unk_0050fff0	CExplosion	1	0	CExplosion:1
0x004144f0	CCockpit__Unk_004144f0	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004121b0	CGeneralVolume__Unk_004121b0	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004122b0	CGeneralVolume__Unk_004122b0	CExplosionInitThing	1	0	CExplosionInitThing:1
0x00412310	CGeneralVolume__Unk_00412310	CExplosionInitThing	1	0	CExplosionInitThing:1
0x00412370	CGeneralVolume__Unk_00412370	CExplosionInitThing	1	0	CExplosionInitThing:1
0x00414410	CGeneralVolume__Unk_00414410	CExplosionInitThing	1	0	CExplosionInitThing:1
0x00414470	CGeneralVolume__Unk_00414470	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004144c0	CGeneralVolume__Unk_004144c0	CExplosionInitThing	1	0	CExplosionInitThing:1
0x00414520	CGeneralVolume__Unk_00414520	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004145a0	CGeneralVolume__Unk_004145a0	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004d2b40	CPlayer__Unk_004d2b40	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004d2bb0	CPlayer__Unk_004d2bb0	CExplosionInitThing	1	0	CExplosionInitThing:1
0x0053c510	CVBufTexture__Unk_0053c510	CExplosionInitThing	1	0	CExplosionInitThing:1
0x004f7cd0	CWaypoint__Unk_004f7cd0	CFEPDevelopment	1	0	CFEPDevelopment:1
0x00569e57	CDXTexture__Unk_00569e57	CFastVB	1	0	CFastVB:1
0x00573630	CMeshCollisionVolume__Unk_00573630	CFastVB	1	0	CFastVB:1
0x005736a0	CMeshCollisionVolume__Unk_005736a0	CFastVB	1	0	CFastVB:1
0x0057d446	CWaypointManager__Unk_0057d446	CFastVB	1	0	CFastVB:1
0x0050f3b0	CAirUnit__Unk_0050f3b0	CFenrir	1	0	CFenrir:1
0x00440c40	CDamage__Unk_00440c40	CGame	1	0	CGame:1
0x004d10b0	CGillMHead__Unk_004d10b0	CGame	1	0	CGame:1
0x004b8e70	CMessageLog__Unk_004b8e70	CGame	1	0	CGame:1
0x004d0510	CPauseMenu__Unk_004d0510	CGame	1	0	CGame:1
0x004d28a0	CPlayer__Unk_004d28a0	CGame	1	0	CGame:1
0x004e1300	CSoundManager__Unk_004e1300	CGame	1	0	CGame:1
0x004e1330	CSoundManager__Unk_004e1330	CGame	1	0	CGame:1
0x00510520	CWorldPhysicsManager__Unk_00510520	CGame	1	0	CGame:1
0x00510740	CWorldPhysicsManager__Unk_00510740	CGame	1	0	CGame:1
0x0050abb0	CWorld__Unk_0050ada0	CGame	1	0	CGame:1
0x0050d7d0	CWorld__Unk_0050d7d0	CGame	1	0	CGame:1
0x005068f0	CEngine__Unk_005068f0	CGeneralVolume	1	0	CGeneralVolume:1
0x005069f0	CEngine__Unk_005069f0	CGeneralVolume	1	0	CGeneralVolume:1
0x00509e90	CEngine__Unk_00509e90	CGeneralVolume	1	0	CGeneralVolume:1
0x0050a080	CEngine__Unk_0050a080	CGeneralVolume	1	0	CGeneralVolume:1
0x0050fe10	CWorldPhysicsManager__Unk_0050fe10	CGillMHead	1	0	CGillMHead:1
0x0050f130	CAirUnit__Unk_0050f130	CGroundAttackAircraft	1	0	CGroundAttackAircraft:1
0x00510250	CWorldPhysicsManager__Unk_00510250	CHazard	1	0	CHazard:1
0x00443fc0	CDestroyableSegment__Unk_00443fc0	CHiveBoss	1	0	CHiveBoss:1
0x00444520	CDestroyableSegment__Unk_00444520	CHiveBoss	1	0	CHiveBoss:1
0x0048a4e0	CIBuffer__Unk_0048a4e0	CInfantryGuide	1	0	CInfantryGuide:1
0x0050f1a0	CAirUnit__Unk_0050f1a0	CInfantryUnit	1	0	CInfantryUnit:1
0x00440c00	CDamage__Unk_00440c00	CLTShell	1	0	CLTShell:1
0x004a2a20	CMemoryManager__Unk_004a2a20	CLTShell	1	0	CLTShell:1
0x004a52b0	CMesh__Unk_004a52b0	CLTShell	1	0	CLTShell:1
0x00523b30	CVBufTexture__Unk_00523b30	CLTShell	1	0	CLTShell:1
0x00510800	CWorldPhysicsManager__Unk_00510800	CLTShell	1	0	CLTShell:1
0x004956a0	CMCBuggy__Unk_004956a0	CMCMech	1	0	CMCMech:1
0x004b0d00	CMeshPart__Unk_004b0d00	CMCMech	1	0	CMCMech:1
0x004d04d0	CPauseMenu__Unk_004d04d0	CMenuItemDropdown	1	0	CMenuItemDropdown:1
0x004aea50	CMeshPart__Unk_004aea50	CMesh	1	0	CMesh:1
0x004aede0	CMeshPart__Unk_004aede0	CMesh	1	0	CMesh:1
0x004af110	CMeshPart__Unk_004af110	CMesh	1	0	CMesh:1
0x004b0c40	CMeshPart__Unk_004b0c40	CMesh	1	0	CMesh:1
0x004b1d30	CMeshPart__Unk_004b1d30	CMesh	1	0	CMesh:1
0x0055fa62	CDXTexture__Unk_0055fa62	CMeshCollisionVolume	1	0	CMeshCollisionVolume:1
0x004ae110	CMeshPart__Unk_004ae110	CMeshCollisionVolume	1	0	CMeshCollisionVolume:1
0x004ae1a0	CMeshPart__Unk_004ae1a0	CMeshCollisionVolume	1	0	CMeshCollisionVolume:1
0x00495030	CMCBuggy__Unk_00495030	CMeshPart	1	0	CMeshPart:1
0x00495090	CMCBuggy__Unk_00495090	CMeshPart	1	0	CMeshPart:1
0x0050f8d0	CWorldPhysicsManager__Unk_0050f8d0	CMissile	1	0	CMissile:1
0x00406560	CBattleEngine__Unk_00406560	CMonitor	1	0	CMonitor:1
0x0040b660	CGeneralVolume__Unk_0040b660	CMonitor	1	0	CMonitor:1
0x00411b70	CGeneralVolume__Unk_00411b70	CMonitor	1	0	CMonitor:1
0x004135d0	CGeneralVolume__Unk_004135d0	CMonitor	1	0	CMonitor:1
0x004d2a50	CPlayer__Unk_004d2a50	CMonitor	1	0	CMonitor:1
0x004e18d0	CSoundManager__Unk_004e18d0	CMonitor	1	0	CMonitor:1
0x0050f260	CAirUnit__Unk_0050f260	CPlane	1	0	CPlane:1
0x004aa5a0	CMesh__Unk_004aa5a0	CRTMesh	1	0	CRTMesh:1
0x0050f630	CWorldPhysicsManager__Unk_0050f630	CRelaxedSquad	1	0	CRelaxedSquad:1
0x005441a0	CDXEngine__Unk_005441a0	CResourceAccumulator	1	0	CResourceAccumulator:1
0x00511440	CWorldPhysicsManager__Unk_00511440	CSpawnerThng	1	0	CSpawnerThng:1
0x00444370	CDestroyableSegment__Unk_00444370	CSphere	1	0	CSphere:1
0x004ae220	CMeshPart__Unk_004ae220	CStaticShadows	1	0	CStaticShadows:1
0x004ae430	CMeshPart__Unk_004ae430	CStaticShadows	1	0	CStaticShadows:1
0x0050fe90	CWorldPhysicsManager__Unk_0050fe90	CTentacle	1	0	CTentacle:1
0x00568a51	CDXTexture__Unk_00568a51	CTexture	1	0	CTexture:1
0x00568ada	CDXTexture__Unk_00568ada	CTexture	1	0	CTexture:1
0x00569449	CDXTexture__Unk_00569449	CTexture	1	0	CTexture:1
0x00597a61	CFastVB__Unk_00597a61	CTexture	1	0	CTexture:1
0x00597b87	CFastVB__Unk_00597b87	CTexture	1	0	CTexture:1
0x00598474	CFastVB__Unk_00598474	CTexture	1	0	CTexture:1
0x0057c7a4	CMeshCollisionVolume__Unk_0057c7a4	CTexture	1	0	CTexture:1
0x005894a9	CMeshCollisionVolume__Unk_005894a9	CTexture	1	0	CTexture:1
0x00589650	CMeshCollisionVolume__Unk_00589650	CTexture	1	0	CTexture:1
0x0056c70a	___Unk_0056c70a	CTexture	1	0	CTexture:1
0x0056c724	___Unk_0056c724	CTexture	1	0	CTexture:1
0x0056c80b	___Unk_0056c80b	CTexture	1	0	CTexture:1
0x00444030	CDestroyableSegment__Unk_00444030	CUnit	1	0	CUnit:1
0x00444160	CDestroyableSegment__Unk_00444160	CUnit	1	0	CUnit:1
0x004443f0	CDestroyableSegment__Unk_004443f0	CUnit	1	0	CUnit:1
0x004e1190	CSoundManager__Unk_004e1190	CUnit	1	0	CUnit:1
0x00511bc0	CVBufTexture__Unk_00511bc0	CUnit	1	0	CUnit:1
0x00533840	IScript__Unk_00533840	CUnit	1	0	CUnit:1
0x00507ab0	OID__Unk_00507ab0	CUnit	1	0	CUnit:1
0x005088b0	OID__Unk_005088b0	CUnit	1	0	CUnit:1
0x004a5430	CMesh__Unk_004a5430	CUnitAI	1	0	CUnitAI:1
0x004f45a0	CUnit__Unk_004f45a0	CUnitAI	1	0	CUnitAI:1
0x00523bc0	CVBufTexture__Unk_00523bc0	CUnitAI	1	0	CUnitAI:1
0x00501360	CWaypoint__Unk_00501360	CUnitAI	1	0	CUnitAI:1
0x00535350	IScript__Unk_00535350	CVM	1	0	CVM:1
0x0058bd25	CTexture__Unk_0058bd25	CVertexShader	1	0	CVertexShader:1
0x005907d9	CTexture__Unk_005907d9	CVertexShader	1	0	CVertexShader:1
0x00509140	OID__Unk_00509140	CWarspite	1	0	CWarspite:1
0x00505ab0	CWaypointManager__Unk_00505ab0	CWorld	1	0	CWorld:1
0x00511ca0	CVBufTexture__Unk_00511ca0	CWorldPhysicsManager	1	0	CWorldPhysicsManager:1
0x00511d20	CVBufTexture__Unk_00511d20	CWorldPhysicsManager	1	0	CWorldPhysicsManager:1
