address	name	signature	calls	constants
00401b50	CMCMine__Unk_00401b50		CMCMine__Unk_00401b50	0x00401b50;0x60;0xd8
00402220	CAirGuide__Unk_00402220		CAirGuide__Unk_00402220;CSPtrSet__Remove;CMonitor__Shutdown	0x00402220;0x2c;0x0;0xffffffff
004027c0	VFuncSlot_00_004026e0__Unk_004027c0		VFuncSlot_00_004026e0__Unk_004027c0;CGenericActiveReader__SetReader;CMapWho__GetFirstEntryWithinRadius;CMapWhoEntry__GetOwner;CMapWho__GetNextEntryWithinRadius	0x004027c0;0x2c;0x0;0x18;0x1c;0x20;0x24;0x28;0x41f00000;0x40;0xd
004028e0	VFuncSlot_00_004026e0__Unk_004028e0		VFuncSlot_00_004026e0__Unk_004028e0;ROUND;CWorld__Helper_0047ea20	0x004028e0;0x18;0x1c;0x24;0x20;0x28;0x497423f0;0x14;0x6fadc8
00413b90	CCylinder__Unk_00413b90		CCylinder__Unk_00413b90;CMonitor__Helper_0047ec60;SQRT	0x00413b90;0x20;0x6c;0x24;0x1c;0x6fadc8;0xffffffac;0x70
00420cd0	CCareer__Unk_00420cd0		CCareer__Unk_00420cd0	0x00420cd0;0x32e40;0x516c
00420d10	CCareer__Unk_00420d10		CCareer__Unk_00420d10	0x00420d10;0xffff;0x7fff;0x10;0x8000ffff;0x16;0x15;0x14;0x1f
00423510	CCylinder__Unk_00423510		CCylinder__Unk_00423510;CGenericActiveReader__SetReader;CMapWho__GetFirstEntryWithinRadius;CMapWhoEntry__GetOwner;CMapWho__GetNextEntryWithinRadius	0x00423510;0x2c;0x0;0x18;0x1c;0x20;0x24;0x28;0x42340000;0x40;0xd
0042d7a0	CController__Unk_0042d7a0		CController__Unk_0042d7a0;PLATFORM__GetSysTimeFloat	0x0042d7a0
0042e3d0	CController__Unk_0042e3d0		CController__Unk_0042e3d0	0x0042e3d0;0x38;0x34;0x30;0x2c;0x28;0x24;0x10
004306b0	CSpawnerStatement__Unk_004306b0		CSpawnerStatement__Unk_004306b0	0x004306b0;0xc
00431020	CComponentStatement__Unk_00431020		CComponentStatement__Unk_00431020	0x00431020;0xc
00437fe0	CPhysicsScriptStatements__Unk_00437fe0		CPhysicsScriptStatements__Unk_00437fe0;OID__FreeObject;OID__AllocObject	0x00437fe0;0xc;0x23c
0043e630	CFlexArray__Unk_0043e630		CFlexArray__Unk_0043e630;DXMemBuffer__ReadBytes	0x0043e630
0043ed20	CCutscene__Unk_0043ed20		CCutscene__Unk_0043ed20;OID__FreeObject	0x0043ed20;0x244;0x0;0x248;0x1
00456830	CFEPDebriefing__Unk_00456830		CFEPDebriefing__Unk_00456830;CWorldPhysicsManager__Helper_004cb040	0x00456830
00464bc0	CFEPSaveGame__Unk_00464bc0		CFEPSaveGame__Unk_00464bc0;CFEPSaveGame__Helper_0046a2a0;ControlsUI__Helper_0055e624;CPlatform__Font;CFEPSaveGame__Helper_0044d390	0x00464bc0;0x9e;0xa0
004661d0	CFEPMultiplayerStart__Unk_004661d0		CFEPMultiplayerStart__Unk_004661d0;CSPtrSet__Clear	0x004661d0;0x20
00472a10	CGameInterface__Unk_00472a10		CGameInterface__Unk_00472a10;CTexture__FindTexture	0x00472a10;0xc
0047eb00	CHeightField__Unk_0047eb00		CHeightField__Unk_0047eb00	0x0047eb00;0xb;0x3f;0x40;0x1028;0xff;0x14;0x12
00482590	CSphere__Unk_00482590		CSphere__Unk_00482590;PLATFORM__GetSysTimeFloat;CGenericActiveReader__SetReader;PLATFORM__GetWindowHeight;RenderState_Set;CVBufTexture__DrawSpriteEx;CDestructableSegmentsController__Helper_004aa6b0;stricmp;SQRT;ROUND;D3DDevice__SetViewport;CDXEngine__SetProjectionMatrix	0x00482590;0x50;0x4e0;0x0;0xd;0x10;0x4c8;0x574;0x2c;0xa4;0x9c;0x80000
00491da0	CMapWho__Unk_00491da0		CMapWho__Unk_00491da0	0x00491da0;0x40;0x1f
0049fdb0	CComponent__Unk_0049fdb0		CComponent__Unk_0049fdb0;CWorldPhysicsManager__Helper_004cd7a0;CWorldPhysicsManager__Helper_004cb040;CParticleManager__CreateEffect;CMCMech__Helper_004b0fb0;CUnit__Helper_004097a0;_rand;CParticleManager__RemoveFromGlobalList	0x0049fdb0;0xffffffff;0x164;0x130;0x30;0x0;0x24;0x15c;0x160;0x8c;0xa8;0xfc
004a0b30	CMechGuide__Unk_004a0b30		CMechGuide__Unk_004a0b30;CSPtrSet__Remove;OID__FreeObject;CMonitor__Shutdown	0x004a0b30;0x44;0x0;0x3c;0x34;0xffffffff
004b6f70	CMessage__Unk_004b6f70		CMessage__Unk_004b6f70;WcsLen;Text__AsciiToWideScratch;CUnitAI__Helper_0055e64e	0x004b6f70;0xc;0x1c;0x34;0xac;0x20;0x56;0x55;0x2e
004b7ab0	CDropship__Unk_004b7ab0		CDropship__Unk_004b7ab0;CText__GetStringById;CTexture__Unk_0055f2e8;CDropship__Helper_0055f2a7;FromWCHAR;CConsole__Printf	0x004b7ab0;0x16c;0xa336c2c;0x0;0xc
004c7900	CRocket__Unk_004c7900		CRocket__Unk_004c7900;SQRT	0x004c7900
004cac80	CPDSelector__Unk_004cac80		CPDSelector__Unk_004cac80;CDXEngine__Helper_0055dfe7	0x004cac80
004cdd70	CRocket__Unk_004cdd70		CRocket__Unk_004cdd70;CGame__GetController;CController__GetToControl;CController__RelinquishControl	0x004cdd70;0x0
004d20a0	CFEPMultiplayerStart__Unk_004d20a0		CFEPMultiplayerStart__Unk_004d20a0;CFEPMultiplayerStart__Helper_00403730;CExplosionInitThing__ctor_like_004fd230	0x004d20a0;0x164;0x11c;0x38
