address	name	line_count	calls
0x0044a690	CUnitAI__Unk_0044a690	5	RenderState_Set
0x00490e10	CUnitAI__Unk_00490e10	5	CUnitAI__Unk_0047e870
0x00423900	CUnitAI__Unk_00423900	6	DXMemBuffer__Close
0x0044a6b0	CUnitAI__Unk_0044a6b0	6	CDXEngine__Unk_005473b0
0x00490f40	CUnitAI__Unk_00490f40	6	CUnitAI__Unk_0047e8a0,CMixerMap__Destroy
0x0044d210	CUnitAI__Unk_0044d210	7	CStaticShadows__UpdateVisibility,CThing__Render
0x0046a1f0	CUnitAI__Unk_0046a1f0	7	CUnitAI__Unk_00469cf0,CText__GetStringByIdAfter
0x00423990	CUnitAI__Unk_00423990	8	DXMemBuffer__Skip
0x00428c70	CUnitAI__Unk_00428c70	8	CUnit__Helper_00402010
0x0044d1f0	CUnitAI__Unk_0044d1f0	8	CUnitAI__Helper_00402000
0x0040e8e0	CUnit__Unk_0040e8e0	9	CStaticShadows__Helper_0047eb80
0x00423840	CUnitAI__Unk_00423840	10	CChunker__Destructor,OID__FreeObject
0x00428cf0	CUnitAI__Unk_00428cf0	10	CUnitAI__Helper_004fe540
0x0047bf60	CUnitAI__Unk_0047bf60	10	CUnitAI__Helper_00403760,CExplosionInitThing__ctor_like_004fd230
0x004238c0	CUnitAI__Unk_004238c0	11	DXMemBuffer__OpenRead
0x0040e910	CUnit__Unk_0040e910	12	HeightDelta__Below015_D4
0x00447b60	CUnitAI__Unk_00447b60	12	SQRT
0x00469390	CUnitAI__Unk_00469390	12	CFrontEnd__IsMouseInputReady,CVBufTexture__Unk_00523bc0
0x0047e8a0	CUnitAI__Unk_0047e8a0	12	OID__FreeObject
0x00489040	CUnitAI__Unk_00489040	12	CUnitAI__Helper_004fc080
0x00407310	CEngine__Unk_00407310	14	CBattleEngine__Unk_00412610,CGeneralVolume__ResolveCurrentOrFallbackEntry
0x00415140	CUnitAI__Unk_00415140	14	CConsole__Printf
0x00421c40	CUnit__Unk_00421c40	14	CUnit__Unk_00402fa0
0x004ae1a0	CMeshPart__Unk_004ae1a0	14	CPolyBucket__GetNextTriangle
0x004ae430	CMeshPart__Unk_004ae430	14	CPolyBucket__GetNextLineTriangle
0x0047d670	CUnitAI__Unk_0047d670	15	OID__FreeObject
0x004ae110	CMeshPart__Unk_004ae110	15	CPolyBucket__StartSearch
0x004ae220	CMeshPart__Unk_004ae220	15	CPolyBucket__StartLineSearch
0x00408150	CUnit__Unk_00408150	16	CBattleEngine__Unk_00406460,CGeneralVolume__SpawnPickupAndDispatch,CUnit__Helper_00402010
0x004157c0	CUnitAI__Unk_004157c0	16	FindAnimationIndex
0x00447b10	CUnitAI__Unk_00447b10	17	FindAnimationIndex,CWorld__DispatchHelper_004bc3e0
0x00415780	CUnitAI__Unk_00415780	18	FindAnimationIndex
0x00445570	CUnitAI__Unk_00445570	18	FindAnimationIndex
0x004455c0	CUnitAI__Unk_004455c0	18	FindAnimationIndex
0x00446400	CUnitAI__Unk_00446400	18	Random__NextLCGAbs,CUnitAI__Unk_00445570,CUnitAI__Helper_004fcec0
0x00447ac0	CUnitAI__Unk_00447ac0	18	CWorld__DispatchHelper_004bc480,FindAnimationIndex
0x0047fb00	CUnitAI__Unk_0047fb00	19	CConsole__Printf
0x0044adb0	CExplosionInitThing__Unk_0044adb0	20	OID__Helper_0055dcb0,fpatan
0x00452ce0	CUnitAI__Unk_00452ce0	20	PLATFORM__GetWindowWidth,PLATFORM__GetWindowHeight,D3DStateCache__SetStateCached,CDXFrontEndVideo__Render
0x00489ef0	CUnitAI__Unk_00489ef0	20	FindAnimationIndex,CUnitAI__Helper_00402000
0x00414630	CBattleEngine__Unk_00414630	21	CGeneralVolume__ResolveCurrentOrFallbackEntry
0x00444620	CExplosionInitThing__Unk_00444620	21	CDestroyableSegment__Helper_00442890
0x0046a220	CUnitAI__Unk_0046a220	21	CText__GetStringById,Text__AsciiToWideScratch
0x00480db0	CUnitAI__Unk_00480db0	21	CConsole__Printf,CUnitAI__Helper_00480ed0
0x004102a0	CBattleEngine__Unk_004102a0	23	CSPtrSet__Remove,CSPtrSet__Clear
0x00447a40	CUnitAI__Unk_00447a40	23	CUnitAI__Helper_00447d50
0x004480c0	CUnitAI__Unk_004480c0	23	CUnitAI__Helper_004fd7e0,CUnit__Unk_004fb500
0x0047a0b0	CUnitAI__Unk_0047a0b0	24	fcos,fsin,CMonitor__Helper_0047ec60,SQRT
0x0040eeb0	CUnit__Unk_0040eeb0	25	FindAnimationIndex,CGillMHead__Helper_004f4560
0x004496e0	CUnitAI__Unk_004496e0	25	CConsole__Printf
0x00479d10	CUnitAI__Unk_00479d10	25	CExplosionInitThing__ctor_like_0049fc10,CStaticShadows__Helper_0047eb80
0x0047cea0	CUnitAI__Unk_0047cea0	25	CUnit__Helper_004cb0b0
0x00472ad0	CUnitAI__Unk_00472ad0	31	CFrontEnd__PlaySound
0x00469c20	CUnitAI__Unk_00469c20	32	CText__GetStringById,Text__AsciiToWideScratch
