target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00415140	CUnitAI__Unk_00415140	005e2400	<none>	<no_function>	DATA
00421c40	CUnit__Unk_00421c40	005e2140	<none>	<no_function>	DATA
00421c40	CUnit__Unk_00421c40	0044e1b8	<none>	<no_function>	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	0042f5db	0042f5b0	CWeaponStatement__VFunc_01_0042f5b0	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	0042fa6b	0042fa40	CWeaponModeStatement__VFunc_01_0042fa40	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	0042ff8b	0042ff60	CRoundStatement__VFunc_01_0042ff60	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	004304fb	004304d0	CSpawnerStatement__VFunc_01_004304d0	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	004309cb	004309a0	CExplosionStatement__VFunc_01_004309a0	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	00430e4b	00430e20	CComponentStatement__VFunc_01_00430e20	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	0043133b	00431310	CFeatureStatement__VFunc_01_00431310	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	0043178b	00431760	CHazardStatement__VFunc_01_00431760	UNCONDITIONAL_CALL
00430fa0	CUnitAI__Unk_00430fa0	0042ee82	<none>	<no_function>	UNCONDITIONAL_CALL
00430b30	CUnitAI__Unk_00430b30	00430b48	00430b30	CUnitAI__Unk_00430b30	UNCONDITIONAL_CALL
00430b30	CUnitAI__Unk_00430b30	00430b16	<none>	<no_function>	UNCONDITIONAL_CALL
00431470	CUnitAI__Unk_00431470	00431488	00431470	CUnitAI__Unk_00431470	UNCONDITIONAL_CALL
00431470	CUnitAI__Unk_00431470	00431456	<none>	<no_function>	UNCONDITIONAL_CALL
00428c70	CUnitAI__Unk_00428c70	005e430c	<none>	<no_function>	DATA
00428c70	CUnitAI__Unk_00428c70	005e40b0	<none>	<no_function>	DATA
00428c70	CUnitAI__Unk_00428c70	005e3e54	<none>	<no_function>	DATA
00428cf0	CUnitAI__Unk_00428cf0	005e43a4	<none>	<no_function>	DATA
00428cf0	CUnitAI__Unk_00428cf0	005e4148	<none>	<no_function>	DATA
00428cf0	CUnitAI__Unk_00428cf0	005e3eec	<none>	<no_function>	DATA
