target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
004015e0	CUnit__Unk_004015e0	00408f6b	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004fa91b	004fa8d0	CUnit__Unk_004fa8d0	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	005d8554	<none>	<no_function>	DATA
004015e0	CUnit__Unk_004015e0	0044ad99	<none>	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	0044cc16	<none>	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004bc03e	<none>	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004d7e1b	<none>	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004d91ff	<none>	<no_function>	UNCONDITIONAL_CALL
004015e0	CUnit__Unk_004015e0	004df737	<none>	<no_function>	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	005e362c	<none>	<no_function>	DATA
00402fa0	CUnit__Unk_00402fa0	005e3880	<none>	<no_function>	DATA
00402fa0	CUnit__Unk_00402fa0	00416344	<none>	<no_function>	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	00421c9f	00421c40	CUnit__ApplyFlag4DampingAndScaleSpeed_00421c40	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	00422667	<none>	<no_function>	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	004471bd	<none>	<no_function>	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	004d1e8c	<none>	<no_function>	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	0044555f	<none>	<no_function>	UNCONDITIONAL_CALL
00402fa0	CUnit__Unk_00402fa0	0047bf4f	<none>	<no_function>	UNCONDITIONAL_CALL
00403690	CUnit__Unk_00403690	005e2ee8	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e2c94	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e2100	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e1ea0	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e19f8	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e1304	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e0e54	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e35ec	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	005e3840	<none>	<no_function>	DATA
00403690	CUnit__Unk_00403690	0044e2ab	<none>	<no_function>	UNCONDITIONAL_CALL
00406460	CBattleEngine__Unk_00406460	00405863	00404dd0	CBattleEngine__Init	UNCONDITIONAL_CALL
00406460	CBattleEngine__Unk_00406460	00408153	00408150	CUnit__Unk_00408150	UNCONDITIONAL_CALL
00406460	CBattleEngine__Unk_00406460	0040a75d	0040a580	CMonitor__Helper_0040a580	UNCONDITIONAL_CALL
00406460	CBattleEngine__Unk_00406460	0040c724	0040c720	CGeneralVolume__ResetAndSetActiveReader	UNCONDITIONAL_CALL
00406560	CBattleEngine__Unk_00406560	00408b84	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
00406da0	CBattleEngine__Unk_00406da0	004068bf	00406560	CBattleEngine__Unk_00406560	UNCONDITIONAL_CALL
00406da0	CBattleEngine__Unk_00406da0	00406a8b	00406560	CBattleEngine__Unk_00406560	UNCONDITIONAL_CALL
00406da0	CBattleEngine__Unk_00406da0	00406b0c	00406560	CBattleEngine__Unk_00406560	UNCONDITIONAL_CALL
00407310	CEngine__Unk_00407310	005074bb	005069f0	CEngine__Unk_005069f0	UNCONDITIONAL_CALL
00408150	CUnit__Unk_00408150	005d8ad8	<none>	<no_function>	DATA
0040e8e0	CUnit__Unk_0040e8e0	005d8b00	<none>	<no_function>	DATA
0040e910	CUnit__Unk_0040e910	005d8b04	<none>	<no_function>	DATA
0040eeb0	CUnit__Unk_0040eeb0	005d8ab0	<none>	<no_function>	DATA
004102a0	CBattleEngine__Unk_004102a0	00405bde	00405a40	CBattleEngine__scalar_deleting_dtor_00405a40	UNCONDITIONAL_CALL
00415780	CUnitAI__Unk_00415780	005e23d4	<none>	<no_function>	DATA
004157c0	CUnitAI__Unk_004157c0	005e23d8	<none>	<no_function>	DATA
00415a50	CUnitAI__Unk_00415a50	005e23bc	<none>	<no_function>	DATA
004178a0	CUnit__Unk_004178a0	005d8fbc	<none>	<no_function>	DATA
004239f0	CUnitAI__Unk_004239f0	004239c5	<none>	<no_function>	UNCONDITIONAL_CALL
00424ca0	CUnitAI__Unk_00424ca0	00424a79	00424a20	CUnitAI__UpdateDeployAimAndScheduleEvent	UNCONDITIONAL_CALL
004250f0	CUnitAI__Unk_004250f0	00424a80	00424a20	CUnitAI__UpdateDeployAimAndScheduleEvent	UNCONDITIONAL_CALL
00428110	CUnitAI__Unk_00428110	005e4300	<none>	<no_function>	DATA
00428110	CUnitAI__Unk_00428110	005e3e48	<none>	<no_function>	DATA
00428110	CUnitAI__Unk_00428110	004f0b84	<none>	<no_function>	UNCONDITIONAL_CALL
00428800	CUnitAI__Unk_00428800	005e42c0	<none>	<no_function>	DATA
00428800	CUnitAI__Unk_00428800	005e3e08	<none>	<no_function>	DATA
00428c70	CUnitAI__Unk_00428c70	005e430c	<none>	<no_function>	DATA
00428c70	CUnitAI__Unk_00428c70	005e40b0	<none>	<no_function>	DATA
00428c70	CUnitAI__Unk_00428c70	005e3e54	<none>	<no_function>	DATA
00428cf0	CUnitAI__Unk_00428cf0	005e43a4	<none>	<no_function>	DATA
00428cf0	CUnitAI__Unk_00428cf0	005e4148	<none>	<no_function>	DATA
00428cf0	CUnitAI__Unk_00428cf0	005e3eec	<none>	<no_function>	DATA
00430b30	CUnitAI__Unk_00430b30	00430b48	00430b30	CUnitAI__Unk_00430b30	UNCONDITIONAL_CALL
00430b30	CUnitAI__Unk_00430b30	00430b16	<none>	<no_function>	UNCONDITIONAL_CALL
00431470	CUnitAI__Unk_00431470	00431488	00431470	CUnitAI__Unk_00431470	UNCONDITIONAL_CALL
00431470	CUnitAI__Unk_00431470	00431456	<none>	<no_function>	UNCONDITIONAL_CALL
004318c0	CUnitAI__Unk_004318c0	004318d8	004318c0	CUnitAI__Unk_004318c0	UNCONDITIONAL_CALL
004318c0	CUnitAI__Unk_004318c0	004318a6	<none>	<no_function>	UNCONDITIONAL_CALL
00438050	CUnitAI__Unk_00438050	00437f5f	<none>	<no_function>	UNCONDITIONAL_CALL
00440b70	CUnitAI__Unk_00440b70	005446c5	<none>	<no_function>	UNCONDITIONAL_CALL
00444620	CExplosionInitThing__Unk_00444620	005343b7	<none>	<no_function>	UNCONDITIONAL_CALL
00444f00	CUnitAI__Unk_00444f00	0049500d	<none>	<no_function>	UNCONDITIONAL_CALL
00444f20	CUnitAI__Unk_00444f20	00494fc2	<none>	<no_function>	UNCONDITIONAL_CALL
00445570	CUnitAI__Unk_00445570	00445d84	00445ad0	CUnitAI__Unk_00445ad0	UNCONDITIONAL_CALL
00445570	CUnitAI__Unk_00445570	00446445	00446400	CUnitAI__Unk_00446400	UNCONDITIONAL_CALL
004455c0	CUnitAI__Unk_004455c0	00445c3a	00445ad0	CUnitAI__Unk_00445ad0	UNCONDITIONAL_CALL
004455c0	CUnitAI__Unk_004455c0	004462bb	00446150	CUnitAI__Unk_00446150	UNCONDITIONAL_CALL
00445610	CUnitAI__Unk_00445610	005e1328	<none>	<no_function>	DATA
00445ad0	CUnitAI__Unk_00445ad0	00445a8e	<none>	<no_function>	UNCONDITIONAL_CALL
00445f40	CUnitAI__Unk_00445f40	00445a85	<none>	<no_function>	UNCONDITIONAL_CALL
00446150	CUnitAI__Unk_00446150	00445a7c	<none>	<no_function>	UNCONDITIONAL_CALL
00446400	CUnitAI__Unk_00446400	004463b6	00446150	CUnitAI__Unk_00446150	UNCONDITIONAL_CALL
00447a40	CUnitAI__Unk_00447a40	005e1fb0	<none>	<no_function>	DATA
00447ac0	CUnitAI__Unk_00447ac0	005e1fb4	<none>	<no_function>	DATA
