target_addr	target_name	from_addr	from_function	ref_type
004693d0	CFEPMain__Helper_004693d0	004a3114	CMenuItem__IsMouseInBounds	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	004a3fa6	CMenuItemDropdown__Render	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	0045327b	CFEPMultiplayerStart__Helper_00453140	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	004630eb	CFEPMain__Render	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	00463268	CFEPMain__Render	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	0051b36d	CFEPDirectory__RenderSaveFileList	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	0051d272	<no_function>	UNCONDITIONAL_CALL
004693d0	CFEPMain__Helper_004693d0	004613ea	CFEPLevelSelect__Render	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	0044d817	CFrontEnd__Helper_0044d6f0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	0044dae2	CFrontEnd__Helper_0044d6f0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	00473796	CDXEngine__Helper_00472f10	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	00473964	CDXEngine__Helper_00472f10	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	0048ff5f	CDXEngine__Helper_0048f620	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	004b9912	CMessageLog__Unk_004b93f0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	004b99c2	CMessageLog__Unk_004b93f0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	004b9a2d	CMessageLog__Unk_004b93f0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	00469425	CFrontEnd__GetClickStateInRect	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	00453be6	CControllerDefinition__VFunc_04_00453ad0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	00453cb8	CControllerDefinition__VFunc_04_00453ad0	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	00455b6e	ControlsUI__RenderBindingsList	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	0051ee6a	CFEPMultiplayerStart__Render	UNCONDITIONAL_CALL
00523cc0	CVBufTexture__Unk_00523cc0	0051ef8d	CFEPMultiplayerStart__Render	UNCONDITIONAL_CALL
004e2c50	CUnit__Unk_004e2c50	004211e2	OptionsTail_Read	UNCONDITIONAL_CALL
004e2c50	CUnit__Unk_004e2c50	00466301	CFrontEnd__Init	UNCONDITIONAL_CALL
004e2c50	CUnit__Unk_004e2c50	0046e290	CGame__RunLevel	UNCONDITIONAL_CALL
004e2c50	CUnit__Unk_004e2c50	00462868	<no_function>	UNCONDITIONAL_CALL
004fd380	CUnit__Unk_004fd380	004e409f	CSpawnerThng__ProcessSpawnWave	UNCONDITIONAL_CALL
004fd380	CUnit__Unk_004fd380	0047d62d	CGroundVehicleGuide__ctor_like_0047d590	UNCONDITIONAL_CALL
004fd380	CUnit__Unk_004fd380	0048a45d	CInfantryGuide__ctor_like_0048a3c0	UNCONDITIONAL_CALL
004fd380	CUnit__Unk_004fd380	004a0abd	CMechGuide__ctor_like_004a0a20	UNCONDITIONAL_CALL
004fd380	CUnit__Unk_004fd380	004e6de7	<no_function>	UNCONDITIONAL_CALL
004fd380	CUnit__Unk_004fd380	004e700b	CSquadNormal__Unk_004e6ff0	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	004693d5	CFEPMain__Helper_004693d0	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	00469405	CFrontEnd__GetClickStateInRect	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	004a405e	CMenuItemDropdown__Render	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	0045d735	CFEPLevelSelect__UpdateMouseEdgeSlide	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	004531f4	CFEPMultiplayerStart__Helper_00453140	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	00469395	CUnitAI__Unk_00469390	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	00466a66	VFuncSlot_03_004669a0	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	00457c91	<no_function>	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	0045dff3	CFEPGoodies__Process	UNCONDITIONAL_CALL
0044dea0	CUnitAI__Unk_0044dea0	00469435	CFEPDirectory__Helper_00469430	UNCONDITIONAL_CALL
