target_addr	target_name	from_addr	from_function	ref_type
0044a6b0	CUnitAI__Unk_0044a6b0	0046c13f	con_navmapon	UNCONDITIONAL_CALL
0044a6b0	CUnitAI__Unk_0044a6b0	0046c16f	con_navmapoff	UNCONDITIONAL_CALL
00512040	CVBufTexture__Unk_00512040	0051213c	CLTShell__WinMain	DATA
00512ca0	CVBufTexture__Unk_00512ca0	004fff33	CVBuffer__ctor_like_004fff00	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	00488243	CIBuffer__Constructor	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	00501843	CVertexShader__CVertexShader	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	00544c63	CDXLandscape__Init	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	004f7a02	CUMTexture__ctor_like_004f79d0	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	0054bfd8	CDXMeshVB__ctor_like_0054bf80	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	00552111	CDXShadows__Init	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	00556d48	CTexture__ctor	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	0055a399	CDXTrees__Init	UNCONDITIONAL_CALL
00512ca0	CVBufTexture__Unk_00512ca0	0055b124	CWaterRenderSystem__ctor	UNCONDITIONAL_CALL
005428d0	CDXEngine__Unk_005428d0	0046c3aa	CGame__Init	UNCONDITIONAL_CALL
00542990	CDXEngine__Unk_00542990	0046c9fa	<no_function>	UNCONDITIONAL_CALL
00542a30	CDXEngine__Unk_00542a30	0048899f	CImposter__FindOrCreate	UNCONDITIONAL_CALL
00542f90	CDXEngine__Unk_00542f90	0054386e	CDXEngine__Unk_00543300	UNCONDITIONAL_CALL
005438c0	CDXEngine__Unk_005438c0	0053e7b7	CDXEngine__Render	UNCONDITIONAL_CALL
