slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e132c	004f44a0	CThing__AddTrail	undefined CThing__AddTrail(void)
1	005e1330	00403a90	<none>	<none>
2	005e1334	004f45e0	CExplosionInitThing__Helper_004f45e0	void __stdcall CExplosionInitThing__Helper_004f45e0(void * param_1)
3	005e1338	004fdd60	<none>	<none>
4	005e133c	004fcf00	CUnit__Unk_004fcf00	void __fastcall CUnit__Unk_004fcf00(int param_1)
5	005e1340	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
6	005e1344	004454c0	<none>	<none>
7	005e1348	00401f70	<none>	<none>
8	005e134c	004d20a0	CFEPMultiplayerStart__Unk_004d20a0	void __fastcall CFEPMultiplayerStart__Unk_004d20a0(void * param_1)
9	005e1350	0047bf60	CUnitAI__Unk_0047bf60	void __fastcall CUnitAI__Unk_0047bf60(void * param_1)
10	005e1354	00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
11	005e1358	00405db0	VFuncSlot_12_00405db0	void VFuncSlot_12_00405db0(void)
12	005e135c	00405dc0	<none>	<none>
13	005e1360	00405dd0	<none>	<none>
14	005e1364	004fc080	CUnitAI__Helper_004fc080	int __fastcall CUnitAI__Helper_004fc080(void * param_1)
15	005e1368	004fc3c0	<none>	<none>
16	005e136c	00405de0	<none>	<none>
17	005e1370	004fa4b0	CUnit__Unk_004fa4b0	int CUnit__Unk_004fa4b0(void)
18	005e1374	004f9a10	<none>	<none>
19	005e1378	004175c0	<none>	<none>
20	005e137c	004175d0	<none>	<none>
21	005e1380	004175e0	<none>	<none>
22	005e1384	00405e10	<none>	<none>
23	005e1388	00405e20	<none>	<none>
