target_addr	target_name	from_addr	from_function	ref_type
0050f440	CWorldPhysicsManager__Unk_0050f440	0050f423	CAirUnit__VFunc_01_0050f420	UNCONDITIONAL_CALL
0040f2f0	CCockpit__Unk_0040f2f0	0040c65b	CBattleEngine__Helper_0040c650	UNCONDITIONAL_CALL
00411e70	CCockpit__Unk_00411e70	004128cd	CCockpit_Unk_00411e70__Wrapper_00412830	UNCONDITIONAL_CALL
00411e70	CCockpit__Unk_00411e70	00409fd3	CBattleEngine__ChangeWeapon	UNCONDITIONAL_CALL
00412cf0	CCockpit__Unk_00412cf0	00405bbc	CBattleEngine__scalar_deleting_dtor_00405a40	UNCONDITIONAL_CALL
004124d0	CGeneralVolume__Unk_004124d0	0040a001	CBattleEngine__ChangeWeapon	UNCONDITIONAL_CALL
004145f0	CGeneralVolume__Unk_004145f0	00409ff4	CBattleEngine__ChangeWeapon	UNCONDITIONAL_CALL
004ad7f0	CInfluenceMap__Unk_004ad7f0	00406550	CBattleEngine__Unk_00406460	UNCONDITIONAL_CALL
0055e902	CDXTexture__Unk_0055e902	0055e804	CDXEngine__Helper_0055e7ae	UNCONDITIONAL_CALL
00440eb0	CDamage__Unk_00440eb0	0054772a	CDXEngine__Unk_005475d0	UNCONDITIONAL_CALL
00440f80	CDamage__Unk_00440f80	00547739	CDXEngine__Unk_005475d0	UNCONDITIONAL_CALL
00414cb0	CExplosionInitThing__Unk_00414cb0	00488071	CDXEngine__Helper_00487d10	UNCONDITIONAL_CALL
004879e0	CExplosionInitThing__Unk_004879e0	00487c57	CDXEngine__Helper_00487bc0	UNCONDITIONAL_CALL
004a17b0	CMemoryManager__Unk_004a17b0	005490d0	CDXEngine__Unk_005490c0	UNCONDITIONAL_CALL
004b93f0	CMessageLog__Unk_004b93f0	0053ee0d	CDXEngine__PostRender	UNCONDITIONAL_CALL
