target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00411630	CMonitor__Unk_00411630	00410e08	00410c50	OID_Unk_005078f0__Wrapper_00410c50	UNCONDITIONAL_CALL
00411aa0	CMonitor__Unk_00411aa0	00411068	00410c50	OID_Unk_005078f0__Wrapper_00410c50	UNCONDITIONAL_CALL
00412000	CMonitor__Unk_00412000	00408544	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
00412000	CMonitor__Unk_00412000	0040a5f2	0040a580	CMonitor__Helper_0040a580	UNCONDITIONAL_CALL
00412000	CMonitor__Unk_00412000	0040decd	0040de40	CMonitor__HandleTargetStateChangeAndHudPrompt	UNCONDITIONAL_CALL
00412900	CMonitor__Unk_00412900	00407fe5	00407a50	CMonitor__UpdateCameraVectorsAndInput	UNCONDITIONAL_CALL
004136e0	CMonitor__Unk_004136e0	004d3390	<none>	<no_function>	UNCONDITIONAL_CALL
00413760	CMonitor__Unk_00413760	00408c4b	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
00413760	CMonitor__Unk_00413760	00408c83	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
00413a70	CMonitor__Unk_00413a70	00413850	00413760	CMonitor__Unk_00413760	UNCONDITIONAL_CALL
00413a70	CMonitor__Unk_00413a70	00413926	00413760	CMonitor__Unk_00413760	UNCONDITIONAL_CALL
00414010	CMonitor__Unk_00414010	00408532	004081c0	CMonitor__Process	UNCONDITIONAL_CALL
00414010	CMonitor__Unk_00414010	0040a5e7	0040a580	CMonitor__Helper_0040a580	UNCONDITIONAL_CALL
00414010	CMonitor__Unk_00414010	0040debb	0040de40	CMonitor__HandleTargetStateChangeAndHudPrompt	UNCONDITIONAL_CALL
0044e2c0	CMonitor__Unk_0044e2c0	005e051c	<none>	<no_function>	DATA
0047d3b0	CMonitor__Unk_0047d3b0	005e2ad4	<none>	<no_function>	DATA
004a1270	CMonitor__Unk_004a1270	004a1210	<none>	<no_function>	UNCONDITIONAL_CALL
004ef120	CMonitor__Unk_004ef120	004eeff0	<none>	<no_function>	UNCONDITIONAL_CALL
005078f0	CMonitor__Unk_005078f0	00410c81	00410c50	OID_Unk_005078f0__Wrapper_00410c50	UNCONDITIONAL_CALL
005078f0	CMonitor__Unk_005078f0	004137a6	00413760	CMonitor__Unk_00413760	UNCONDITIONAL_CALL
