address	name	signature
0x0050abb0	CWorld__Unk_0050ada0	void __fastcall CWorld__Unk_0050ada0(void * param_1)
0x0050ada0	CWorld__Unk_0050ada0	void __fastcall CWorld__Unk_0050ada0(void * param_1)
0x0050af70	CWorld__Unk_0050af70	int * __thiscall CWorld__Unk_0050af70(void * this, int param_1, void * param_2)
0x0050b010	CWorld__Unk_0050b010	void __stdcall CWorld__Unk_0050b010(void * param_1)
0x0050b020	CWorld__Unk_0050b020	void __stdcall CWorld__Unk_0050b020(void * param_1)
0x0050d680	CWorld__Unk_0050d680	void * __thiscall CWorld__Unk_0050d680(void * this, void * param_1, int param_2)
0x0050d6a0	CWorld__Unk_0050d6a0	void __thiscall CWorld__Unk_0050d6a0(void * this, int param_1, int param_2, int param_3)
0x0050d720	CWorld__Unk_0050d720	void __thiscall CWorld__Unk_0050d720(void * this, int param_1, float param_2, float param_3, float param_4)
0x0050d7a0	CWorld__Unk_0050d7a0	void __thiscall CWorld__Unk_0050d7a0(void * this, int param_1, int param_2)
0x0050d7d0	CWorld__Unk_0050d7d0	int __fastcall CWorld__Unk_0050d7d0(int param_1)
0x0050d7f0	CWorld__Unk_0050d7f0	void __fastcall CWorld__Unk_0050d7f0(void * param_1)
