target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00510e60	CWorldPhysicsManager__Unk_00510e60	00510ca8	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
00510eb0	CWorldPhysicsManager__Unk_00510eb0	00510b81	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
00510f10	CWorldPhysicsManager__Unk_00510f10	00510b44	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
00511040	CWorldPhysicsManager__Unk_00511040	00510b07	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
00511070	CWorldPhysicsManager__Unk_00511070	00510bf1	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
005110f0	CWorldPhysicsManager__Unk_005110f0	00510c2e	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
005110f0	CWorldPhysicsManager__Unk_005110f0	00510c6b	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
005113a0	CWorldPhysicsManager__Unk_005113a0	00510abc	00510a90	CWorldPhysicsManager__Unk_00510a90	UNCONDITIONAL_CALL
00511440	CWorldPhysicsManager__Unk_00511440	004e4139	004e3f90	CSpawnerThng__ProcessSpawnWave	UNCONDITIONAL_CALL
005115b0	CWorldPhysicsManager__Unk_005115b0	00442c62	00442b20	CDestroyableSegment__VFunc_08_00442b20	UNCONDITIONAL_CALL
005115b0	CWorldPhysicsManager__Unk_005115b0	00511a87	005119e0	CWorldPhysicsManager__AddWeaponByName	UNCONDITIONAL_CALL
005115b0	CWorldPhysicsManager__Unk_005115b0	00511b78	00511ad0	CWorldPhysicsManager__AddSpawnerByName	UNCONDITIONAL_CALL
00511720	CWorldPhysicsManager__Unk_00511720	00433d58	<none>	<no_function>	UNCONDITIONAL_CALL
00511720	CWorldPhysicsManager__Unk_00511720	0043d8e0	<none>	<no_function>	UNCONDITIONAL_CALL
005117c0	CWorldPhysicsManager__Unk_005117c0	00433d68	<none>	<no_function>	UNCONDITIONAL_CALL
005117c0	CWorldPhysicsManager__Unk_005117c0	0043da80	<none>	<no_function>	UNCONDITIONAL_CALL
00511860	CWorldPhysicsManager__Unk_00511860	00433d78	<none>	<no_function>	UNCONDITIONAL_CALL
