0x0050ef30 CCarrier__Destructor
0x0050f030 CBigAirUnit__Destructor
0x0050f630 CRelaxedSquad__Destructor
0x0050f8d0 CMissile__Destructor
0x0050fd90 CComponent__Destructor
0x0050fe10 CGillMHead__Destructor_VFunc01
0x0050fe90 CTentacle__Destructor
0x0050fff0 CExplosion__Destructor
0x00510250 CHazard__Destructor
0x00510520 CWorldPhysicsManager__ResolveLoadedDefinitionReferences
0x00510740 CWorldPhysicsManager__FreeNestedThingSets_6C
0x00510800 CWorldPhysicsManager__ReloadDefaultPhysicsAndBattleEngineData
0x00510e60 CWorldPhysicsManager__FreeEntryOwnedPtrs_00_0C_20
0x00511440 CWorldPhysicsManager__IsSpawnerThingTypeAllowedByName
