target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00495030	CMCBuggy__Unk_00495030	004baeab	004bae70	CMeshPart__CanOptimizePart_Strict	UNCONDITIONAL_CALL
00495090	CMCBuggy__Unk_00495090	004bb07b	004bb040	CMeshPart__CanMergeInOptimizePass	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	0049ba3f	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	0049561b	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	00495db7	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	00496ed6	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	00497ec4	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	00497f84	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	00498044	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	0049c98b	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	0049f421	<none>	<no_function>	UNCONDITIONAL_CALL
004956a0	CMCBuggy__Unk_004956a0	0049f4cf	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	00495d9e	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	00496ebd	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	00497eab	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	00497f6b	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	0049802b	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	0049f408	<none>	<no_function>	UNCONDITIONAL_CALL
00495e00	CMCBuggy__Unk_00495e00	0049f4b6	<none>	<no_function>	UNCONDITIONAL_CALL
