slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e3170	004fdd60	<none>	<none>
1	005e3174	004fcf00	CUnit__Unk_004fcf00	void __fastcall CUnit__Unk_004fcf00(int param_1)
2	005e3178	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
3	005e317c	0049fc10	CExplosionInitThing__ctor_like_0049fc10	void __fastcall CExplosionInitThing__ctor_like_0049fc10(void * param_1)
4	005e3180	0047c8b0	<none>	<none>
5	005e3184	00402000	CUnitAI__Helper_00402000	void __fastcall CUnitAI__Helper_00402000(int param_1)
6	005e3188	00402010	CUnit__Unk_00402010	void __fastcall CUnit__Unk_00402010(int param_1)
7	005e318c	00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
8	005e3190	0049fdb0	CComponent__Unk_0049fdb0	void __fastcall CComponent__Unk_0049fdb0(int param_1)
9	005e3194	00405dc0	<none>	<none>
10	005e3198	00405dd0	<none>	<none>
11	005e319c	004fc080	CUnitAI__Helper_004fc080	int __fastcall CUnitAI__Helper_004fc080(void * param_1)
12	005e31a0	004fc3c0	<none>	<none>
13	005e31a4	00405de0	<none>	<none>
14	005e31a8	004fa4b0	CUnit__Unk_004fa4b0	int CUnit__Unk_004fa4b0(void)
15	005e31ac	004f9a10	<none>	<none>
16	005e31b0	004175c0	<none>	<none>
17	005e31b4	004175d0	<none>	<none>
18	005e31b8	004175e0	<none>	<none>
19	005e31bc	00405e10	<none>	<none>
