target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
0057cc53	CDXTexture__Unk_0057cc53	005744a1	00574492	CDXTexture__Helper_00574492	UNCONDITIONAL_CALL
0057cc53	CDXTexture__Unk_0057cc53	00574671	00574662	CFastVB__Helper_00574662	UNCONDITIONAL_CALL
0057cc53	CDXTexture__Unk_0057cc53	0057c827	0057c7a4	CMeshCollisionVolume__Unk_0057c7a4	UNCONDITIONAL_CALL
0057d244	CDXTexture__Unk_0057d244	0057d4ab	0057d47e	CDXTexture__Helper_0057d47e	COMPUTED_JUMP
0057d244	CDXTexture__Unk_0057d244	0057d46d	0057d446	CWaypointManager__Unk_0057d446	DATA
0057d244	CDXTexture__Unk_0057d244	0057d4a0	0057d47e	CDXTexture__Helper_0057d47e	DATA
005818b7	CDXTexture__Unk_005818b7	005e9ef0	<none>	<no_function>	DATA
005818b7	CDXTexture__Unk_005818b7	005ea230	<none>	<no_function>	DATA
005818b7	CDXTexture__Unk_005818b7	005ea240	<none>	<no_function>	DATA
005818b7	CDXTexture__Unk_005818b7	005ea250	<none>	<no_function>	DATA
005818b7	CDXTexture__Unk_005818b7	005ea2a0	<none>	<no_function>	DATA
005818b7	CDXTexture__Unk_005818b7	005ea2b0	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9edc	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9f48	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9f58	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9f68	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9f78	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9f88	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9f98	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9fa8	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9fb8	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9fc8	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9fdc	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9fec	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005e9ffc	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea00c	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea01c	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea02c	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea040	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea050	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea064	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea074	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea084	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea094	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea0a4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea0b4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea0c4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea0d4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea0e4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea0f4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea104	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea114	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea124	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea134	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea154	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea164	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea174	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea1a4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea1b4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea1c4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea1d4	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea200	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea210	<none>	<no_function>	DATA
00581d49	CDXTexture__Unk_00581d49	005ea220	<none>	<no_function>	DATA
00582a99	CTexture__Unk_00582a99	005e9fb4	<none>	<no_function>	DATA
00582bbe	CTexture__Unk_00582bbe	005e9fc4	<none>	<no_function>	DATA
00582c8a	CTexture__Unk_00582c8a	005e9fd8	<none>	<no_function>	DATA
00582dd3	CTexture__Unk_00582dd3	005e9fe8	<none>	<no_function>	DATA
00582ef8	CDXTexture__Unk_00582ef8	005e9ff8	<none>	<no_function>	DATA
00583041	CDXTexture__Unk_00583041	005ea008	<none>	<no_function>	DATA
0058318a	CDXTexture__Unk_0058318a	005ea018	<none>	<no_function>	DATA
005832af	CDXTexture__Unk_005832af	005ea028	<none>	<no_function>	DATA
