address	name	signature	status
0x00585bef	CFastVB__Unk_00585bef	int __thiscall CFastVB__Unk_00585bef(void * this, void * param_1, int param_2)	OK
0x00585c0b	CFastVB__Unk_00585c0b	void __thiscall CFastVB__Unk_00585c0b(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x00585c94	CFastVB__Unk_00585c94	int __thiscall CFastVB__Unk_00585c94(void * this, void * param_1, int param_2)	OK
0x00585cb0	CTexture__Unk_00585cb0	void __thiscall CTexture__Unk_00585cb0(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x00585da3	CDXTexture__Unk_00585da3	void __thiscall CDXTexture__Unk_00585da3(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x00585e9f	CDXTexture__Unk_00585e9f	void __thiscall CDXTexture__Unk_00585e9f(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x00585fa3	CFastVB__Unk_00585fa3	void __thiscall CFastVB__Unk_00585fa3(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x005860ba	CTexture__Unk_005860ba	void __thiscall CTexture__Unk_005860ba(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x0058617c	CFastVB__Unk_0058617c	int __thiscall CFastVB__Unk_0058617c(void * this, void * param_1, int param_2)	OK
0x005861b4	CDXTexture__Unk_005861b4	void __thiscall CDXTexture__Unk_005861b4(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x005862e9	CFastVB__Unk_005862e9	int __thiscall CFastVB__Unk_005862e9(void * this, void * param_1, int param_2)	OK
0x00586305	CDXTexture__Unk_00586305	void __thiscall CDXTexture__Unk_00586305(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
0x00586438	CTexture__Unk_00586438	void __thiscall CTexture__Unk_00586438(void * this, void * param_1, int param_2, int param_3, void * param_4)	OK
