address	name	signature	status
0x004015e0	CUnit__Unk_004015e0	void __fastcall CUnit__Unk_004015e0(void * param_1)	OK
0x00402010	CUnit__Unk_00402010	void __fastcall CUnit__Unk_00402010(int param_1)	OK
0x00402fa0	CUnit__Unk_00402fa0	void __fastcall CUnit__Unk_00402fa0(void * param_1)	OK
0x00403690	CUnit__Unk_00403690	int __fastcall CUnit__Unk_00403690(int param_1)	OK
0x00403a50	CFrontEndPage__Unk_00403a50	int __fastcall CFrontEndPage__Unk_00403a50(int param_1)	OK
0x00403ba0	CThing__Unk_00403ba0	void __thiscall CThing__Unk_00403ba0(void * this, void * param_1, int param_2, int param_3)	OK
0x00403bf0	CThing__Unk_00403bf0	void __thiscall CThing__Unk_00403bf0(void * this, void * param_1, int param_2, int param_3)	OK
0x00404210	CAtmospheric__Unk_00404210	void __fastcall CAtmospheric__Unk_00404210(void * param_1)	OK
0x00404790	CAtmospheric__Unk_00404790	void __fastcall CAtmospheric__Unk_00404790(int param_1)	OK
0x00404860	CAtmospheric__Unk_00404860	int __thiscall CAtmospheric__Unk_00404860(void * this, int param_1, int param_2, int param_3, int param_4)	OK
0x004048c0	CAtmospheric__Unk_004048c0	double __fastcall CAtmospheric__Unk_004048c0(int param_1)	OK
0x004063a0	CBattleEngine__Unk_004063a0	double __fastcall CBattleEngine__Unk_004063a0(int param_1)	OK
0x00406460	CBattleEngine__Unk_00406460	void __fastcall CBattleEngine__Unk_00406460(int param_1)	OK
0x00406560	CBattleEngine__Unk_00406560	void __fastcall CBattleEngine__Unk_00406560(int param_1)	OK
0x00406da0	CBattleEngine__Unk_00406da0	int CBattleEngine__Unk_00406da0(void)	OK
0x00407310	CEngine__Unk_00407310	int __thiscall CEngine__Unk_00407310(void * this, int param_1, int param_2)	OK
0x00407940	CGeneralVolume__Unk_00407940	void __thiscall CGeneralVolume__Unk_00407940(void * this, int param_1, float param_2)	OK
0x00407a50	CMonitor__Unk_00407a50	void __fastcall CMonitor__Unk_00407a50(void * param_1)	OK
0x00408120	CUnitAI__Unk_00408120	int __fastcall CUnitAI__Unk_00408120(int param_1)	OK
0x00408150	CUnit__Unk_00408150	void __fastcall CUnit__Unk_00408150(void * param_1)	OK
0x004081c0	CMonitor__Unk_004081c0	void __fastcall CMonitor__Unk_004081c0(void * param_1)	OK
0x00409880	CMonitor__Unk_00409880	int __fastcall CMonitor__Unk_00409880(int param_1)	OK
0x00409e60	CGeneralVolume__Unk_00409e60	double __stdcall CGeneralVolume__Unk_00409e60(float param_1)	OK
0x00409e80	CGeneralVolume__Unk_00409e80	void __fastcall CGeneralVolume__Unk_00409e80(int param_1)	OK
0x00409e90	CGeneralVolume__Unk_00409e90	void __fastcall CGeneralVolume__Unk_00409e90(void * param_1)	OK
0x00409ec0	CGeneralVolume__Unk_00409ec0	void __fastcall CGeneralVolume__Unk_00409ec0(void * param_1)	OK
0x00409ef0	CGeneralVolume__Unk_00409ef0	void __fastcall CGeneralVolume__Unk_00409ef0(int param_1)	OK
0x00409f20	CGeneralVolume__Unk_00409f20	void __fastcall CGeneralVolume__Unk_00409f20(int param_1)	OK
0x00409f70	CGeneralVolume__Unk_00409f70	void __fastcall CGeneralVolume__Unk_00409f70(int param_1)	OK
0x0040ac50	CGeneralVolume__Unk_0040ac50	void __thiscall CGeneralVolume__Unk_0040ac50(void * this, int param_1, float param_2)	OK
0x0040b660	CGeneralVolume__Unk_0040b660	double __cdecl CGeneralVolume__Unk_0040b660(float param_1, float param_2)	OK
0x0040bfd0	CGeneralVolume__Unk_0040bfd0	int __fastcall CGeneralVolume__Unk_0040bfd0(int param_1)	OK
0x0040c570	CGeneralVolume__Unk_0040c570	void __fastcall CGeneralVolume__Unk_0040c570(int param_1)	OK
0x0040c720	CGeneralVolume__Unk_0040c720	void __thiscall CGeneralVolume__Unk_0040c720(void * this, int param_1, void * param_2)	OK
0x0040d4d0	CGeneralVolume__Unk_0040d4d0	void __fastcall CGeneralVolume__Unk_0040d4d0(int param_1)	OK
0x0040d5f0	CGeneralVolume__Unk_0040d5f0	void __fastcall CGeneralVolume__Unk_0040d5f0(int param_1)	OK
0x0040dcb0	CCockpit__Unk_0040dcb0	void __fastcall CCockpit__Unk_0040dcb0(int param_1)	OK
0x0040de40	CMonitor__Unk_0040de40	void __fastcall CMonitor__Unk_0040de40(void * param_1)	OK
0x0040dfb0	CGeneralVolume__Unk_0040dfb0	void __fastcall CGeneralVolume__Unk_0040dfb0(void * param_1)	OK
0x0040e840	CMonitor__Unk_0040e840	void __fastcall CMonitor__Unk_0040e840(int param_1)	OK
0x0040e860	CGeneralVolume__Unk_0040e860	void __thiscall CGeneralVolume__Unk_0040e860(void * this, void * param_1, void * param_2)	OK
0x0040e8e0	CUnit__Unk_0040e8e0	double __fastcall CUnit__Unk_0040e8e0(int param_1)	OK
0x0040e910	CUnit__Unk_0040e910	double __fastcall CUnit__Unk_0040e910(void * param_1)	OK
0x0040e940	CMonitor__Unk_0040e940	void __fastcall CMonitor__Unk_0040e940(void * param_1)	OK
0x0040eb50	CMonitor__Unk_0040eb50	void __fastcall CMonitor__Unk_0040eb50(int param_1)	OK
0x0040ebf0	CMonitor__Unk_0040ebf0	void __fastcall CMonitor__Unk_0040ebf0(void * param_1)	OK
0x0040eeb0	CUnit__Unk_0040eeb0	int __fastcall CUnit__Unk_0040eeb0(int param_1)	OK
0x0040f2f0	CCockpit__Unk_0040f2f0	int __cdecl CCockpit__Unk_0040f2f0(int param_1)	OK
0x004102a0	CBattleEngine__Unk_004102a0	void __fastcall CBattleEngine__Unk_004102a0(void * param_1)	OK
0x00410310	CGeneralVolume__Unk_00410310	void __thiscall CGeneralVolume__Unk_00410310(void * this, int param_1, float param_2)	OK
0x00410490	CGeneralVolume__Unk_00410490	void __fastcall CGeneralVolume__Unk_00410490(int param_1)	OK
0x00410740	CGeneralVolume__Unk_00410740	void __thiscall CGeneralVolume__Unk_00410740(void * this, int param_1, float param_2)	OK
0x004109d0	CGeneralVolume__Unk_004109d0	void __thiscall CGeneralVolume__Unk_004109d0(void * this, int param_1, float param_2)	OK
0x004114d0	CGeneralVolume__Unk_004114d0	double __fastcall CGeneralVolume__Unk_004114d0(int param_1)	OK
0x00411500	CMonitor__Unk_00411500	void __fastcall CMonitor__Unk_00411500(int param_1)	OK
0x00411630	CMonitor__Unk_00411630	void __fastcall CMonitor__Unk_00411630(int param_1)	OK
0x00411aa0	CMonitor__Unk_00411aa0	double __fastcall CMonitor__Unk_00411aa0(int param_1)	OK
0x00411b70	CGeneralVolume__Unk_00411b70	int __fastcall CGeneralVolume__Unk_00411b70(int param_1)	OK
0x00411e70	CCockpit__Unk_00411e70	void __fastcall CCockpit__Unk_00411e70(void * param_1)	OK
0x00412000	CMonitor__Unk_00412000	void __fastcall CMonitor__Unk_00412000(void * param_1)	OK
0x004121b0	CGeneralVolume__Unk_004121b0	double __fastcall CGeneralVolume__Unk_004121b0(void * param_1)	OK
0x004122b0	CGeneralVolume__Unk_004122b0	int __fastcall CGeneralVolume__Unk_004122b0(void * param_1)	OK
0x00412310	CGeneralVolume__Unk_00412310	int __fastcall CGeneralVolume__Unk_00412310(void * param_1)	OK
0x00412370	CGeneralVolume__Unk_00412370	double __fastcall CGeneralVolume__Unk_00412370(void * param_1)	OK
0x00412480	CGeneralVolume__Unk_00412480	int __fastcall CGeneralVolume__Unk_00412480(void * param_1)	OK
0x004124d0	CGeneralVolume__Unk_004124d0	int __fastcall CGeneralVolume__Unk_004124d0(void * param_1)	OK
0x00412570	CBattleEngine__Unk_00412570	int __fastcall CBattleEngine__Unk_00412570(void * param_1)	OK
0x00412610	CBattleEngine__Unk_00412610	int __fastcall CBattleEngine__Unk_00412610(void * param_1)	OK
0x004127a0	CGeneralVolume__Unk_004127a0	void __thiscall CGeneralVolume__Unk_004127a0(void * this, void * param_1, void * param_2)	OK
0x00412900	CMonitor__Unk_00412900	int __fastcall CMonitor__Unk_00412900(int param_1)	OK
0x00412cf0	CCockpit__Unk_00412cf0	void __fastcall CCockpit__Unk_00412cf0(void * param_1)	OK
0x00412d80	CGeneralVolume__Unk_00412d80	void __thiscall CGeneralVolume__Unk_00412d80(void * this, int param_1, float param_2)	OK
0x00412f70	CGeneralVolume__Unk_00412f70	void __thiscall CGeneralVolume__Unk_00412f70(void * this, int param_1, float param_2)	OK
0x00413160	CGeneralVolume__Unk_00413160	void __thiscall CGeneralVolume__Unk_00413160(void * this, int param_1, float param_2)	OK
