address	name	signature	status
0x0056614c	CRT__SelectHeapStrategy	int CRT__SelectHeapStrategy(void)	OK
0x00566294	CRT__InitializeHeapSubsystem	int __cdecl CRT__InitializeHeapSubsystem(int param_1)	OK
0x005662f1	CRT__InitSmallBlockHeap	int __cdecl CRT__InitSmallBlockHeap(int param_1)	OK
0x00566339	CRT__FindSmallBlockHeapEntryForPtr	uint __cdecl CRT__FindSmallBlockHeapEntryForPtr(int param_1)	OK
0x00569449	CRT__ControlFp	uint __cdecl CRT__ControlFp(uint param_1, uint param_2)	OK
0x0056aff4	CRT__AllocOsHandleSlot	int CRT__AllocOsHandleSlot(void)	OK
0x0056b117	CRT__SetOsHandle	int __cdecl CRT__SetOsHandle(uint param_1, int param_2)	OK
0x0056b193	CRT__FreeOsHandle	int __cdecl CRT__FreeOsHandle(uint param_1)	OK
0x0056cbb4	CRT__EnsureTzsetInitialized	void CRT__EnsureTzsetInitialized(void)	OK
0x0056cbe2	CRT__Tzset	void CRT__Tzset(void)	OK
