target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
005768f1	CFastVB__Unk_005768f1	005768fe	005768fe	CTexture__Helper_005768fe	COMPUTED_JUMP
005768f1	CFastVB__Unk_005768f1	005768f8	005768f1	CFastVB__Unk_005768f1	COMPUTED_JUMP
00576b3a	CFastVB__Unk_00576b3a	00576b47	00576b47	CVertexShader__Helper_00576b47	COMPUTED_JUMP
00576b3a	CFastVB__Unk_00576b3a	00576b41	00576b3a	CFastVB__Unk_00576b3a	COMPUTED_JUMP
00576dfd	CFastVB__Unk_00576dfd	00576e0a	00576e0a	CVertexShader__Helper_00576e0a	COMPUTED_JUMP
00576dfd	CFastVB__Unk_00576dfd	00576e04	00576dfd	CFastVB__Unk_00576dfd	COMPUTED_JUMP
005771af	CFastVB__Unk_005771af	00656fb4	<none>	<no_function>	DATA
005771af	CFastVB__Unk_005771af	005771d4	005771af	CFastVB__Unk_005771af	COMPUTED_CALL
005775b0	CFastVB__Unk_005775b0	005775bd	005775bd	CTexture__Helper_005775bd	COMPUTED_JUMP
005775b0	CFastVB__Unk_005775b0	005775b7	005775b0	CFastVB__Unk_005775b0	COMPUTED_JUMP
005776d3	CFastVB__Unk_005776d3	005776de	005776d3	CFastVB__Unk_005776d3	COMPUTED_JUMP
005776d3	CFastVB__Unk_005776d3	00656fcc	<none>	<no_function>	DATA
005776e4	CFastVB__Unk_005776e4	00656fd4	<none>	<no_function>	DATA
005776e4	CFastVB__Unk_005776e4	00577701	005776e4	CFastVB__Unk_005776e4	COMPUTED_CALL
0057770b	CFastVB__Unk_0057770b	006570f4	<none>	<no_function>	DATA
0057798e	CFastVB__Unk_0057798e	00656fa4	<none>	<no_function>	DATA
0057798e	CFastVB__Unk_0057798e	005779a5	0057798e	CFastVB__Unk_0057798e	COMPUTED_CALL
005779ae	CFastVB__Unk_005779ae	006570c4	<none>	<no_function>	DATA
00577a0a	CFastVB__Unk_00577a0a	00577a38	00577a38	CTexture__Unk_00577a38	COMPUTED_JUMP
00577a0a	CFastVB__Unk_00577a0a	00577a2f	00577a0a	CFastVB__Unk_00577a0a	COMPUTED_CALL
00577a0a	CFastVB__Unk_00577a0a	00656f94	<none>	<no_function>	DATA
005784a9	CFastVB__Unk_005784a9	005784b4	005784a9	CFastVB__Unk_005784a9	COMPUTED_JUMP
00578f53	CFastVB__Unk_00578f53	0065715c	<none>	<no_function>	DATA
00579184	CFastVB__Unk_00579184	00657070	<none>	<no_function>	DATA
