target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00596e23	CFastVB__Unk_00596e23	00597a4f	00597949	CTexture__Helper_00597949	UNCONDITIONAL_CALL
00596e23	CFastVB__Unk_00596e23	00597b7b	00597a61	CFastVB__Unk_00597a61	UNCONDITIONAL_CALL
00596e23	CFastVB__Unk_00596e23	00597ca0	00597b87	CFastVB__Unk_00597b87	UNCONDITIONAL_CALL
00597a61	CFastVB__Unk_00597a61	0059807b	00598056	CTexture__Helper_00598056	UNCONDITIONAL_CALL
00597a61	CFastVB__Unk_00597a61	00587508	00587477	CFastVB__Helper_00587477	DATA
00597b87	CFastVB__Unk_00597b87	005980af	0059808a	CTexture__Helper_0059808a	UNCONDITIONAL_CALL
00597b87	CFastVB__Unk_00597b87	005874c8	00587477	CFastVB__Helper_00587477	DATA
00598f60	CFastVB__Unk_00598f60	005ef240	<none>	<no_function>	DATA
005997a5	CFastVB__Unk_005997a5	00599892	00599878	CFastVB__CloneNodeTreeWithAddRef	UNCONDITIONAL_CALL
0059a21f	CFastVB__Unk_0059a21f	0059a6a1	0059a54d	CFastVB__Unk_0059a54d	UNCONDITIONAL_CALL
0059a21f	CFastVB__Unk_0059a21f	0059a6d6	0059a54d	CFastVB__Unk_0059a54d	UNCONDITIONAL_CALL
0059a21f	CFastVB__Unk_0059a21f	0059a4dd	0059a21f	CFastVB__Unk_0059a21f	UNCONDITIONAL_CALL
0059a54d	CFastVB__Unk_0059a54d	0059a7ca	0059a71a	CFastVB__Unk_0059a71a	UNCONDITIONAL_CALL
0059a71a	CFastVB__Unk_0059a71a	00599576	005994c4	CDXTexture__Helper_005994c4	UNCONDITIONAL_CALL
0059a71a	CFastVB__Unk_0059a71a	00599349	0059930d	CTexture__Helper_0059930d	UNCONDITIONAL_CALL
0059c610	CFastVB__Unk_0059c610	00591050	00591050	CFastVB__ReleaseOwnedObjectAndReset	UNCONDITIONAL_JUMP
0059c610	CFastVB__Unk_0059c610	00592b0c	00592b00	CFastVB__ParserContext_Shutdown	UNCONDITIONAL_CALL
0059c700	CFastVB__Unk_0059c700	005ac57f	<none>	<no_function>	UNCONDITIONAL_CALL
