target_addr	target_name	from_addr	from_function	ref_type
00472570	CGame__Unk_00472570	004aac73	CMesh__Deserialize	UNCONDITIONAL_CALL
004725f0	CGame__Unk_004725f0	00486128	CExplosionInitThing__Helper_00485d50	UNCONDITIONAL_CALL
00472650	CGame__Unk_00472650	0050d9fe	CWorldMeshList__Add	UNCONDITIONAL_CALL
004661e0	CFrontEnd__Unk_004661e0	005d26b8	Unwind@005d26af	UNCONDITIONAL_CALL
004661e0	CFrontEnd__Unk_004661e0	005d2718	Unwind@005d270f	UNCONDITIONAL_CALL
004661e0	CFrontEnd__Unk_004661e0	005d7898	Unwind@005d788f	UNCONDITIONAL_CALL
004661f0	CFrontEnd__Unk_004661f0	005d26d1	Unwind@005d26c8	UNCONDITIONAL_CALL
0044a0d0	CEngine__Unk_0044a0d0	0053e320	CDXEngine__Render	UNCONDITIONAL_CALL
0044a0d0	CEngine__Unk_0044a0d0	00487a0a	CExplosionInitThing__Unk_004879e0	UNCONDITIONAL_CALL
004815c0	CHud__Unk_004815c0	0046c463	CGame__InitRestartLoop	UNCONDITIONAL_CALL
00481af0	CHud__Unk_00481af0	0046d052	CGame__PostLoadProcess	UNCONDITIONAL_CALL
00481b00	CHud__Unk_00481b00	0046c9ac	<no_function>	UNCONDITIONAL_CALL
0047a8b0	CGillMHead__Unk_0047a8b0	005e4350	<no_function>	DATA
0047a900	CGillMHead__Unk_0047a900	005e42e4	<no_function>	DATA
