target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
0055eb3d	CTexture__Unk_0055eb3d	004bce07	004bcd60	CWorld__Helper_004bcd60	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bce49	004bcd60	CWorld__Helper_004bcd60	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bd3bd	004bcd60	CWorld__Helper_004bcd60	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bd3e8	004bcd60	CWorld__Helper_004bcd60	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	00554865	00554750	CDXEngine__EmitBillboardStrip	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	005548c3	00554750	CDXEngine__EmitBillboardStrip	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	00554925	00554750	CDXEngine__EmitBillboardStrip	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	0055496b	00554750	CDXEngine__EmitBillboardStrip	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bda48	004bd9e0	CEngine__Unk_004bd9e0	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bda93	004bd9e0	CEngine__Unk_004bd9e0	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bdefd	004bd9e0	CEngine__Unk_004bd9e0	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004bdf35	004bd9e0	CEngine__Unk_004bd9e0	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004e6e38	<none>	<no_function>	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004e8767	004e8730	CSquadNormal__Unk_004e8730	UNCONDITIONAL_CALL
0055eb3d	CTexture__Unk_0055eb3d	004e75ed	004e7110	CSquadNormal__Unk_004e7110	UNCONDITIONAL_CALL
0055ec4a	CTexture__Unk_0055ec4a	0055ec29	0055ec1e	__nh_malloc	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	005611c0	00561179	CDXTexture__Helper_00561179	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	0055e50d	0055e4d4	__fclose_lk	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00564b38	00564a0b	CDXTexture__Helper_00564a0b	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00564b46	00564a0b	CDXTexture__Helper_00564a0b	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00564b90	00564b54	CDXTexture__Helper_00564b54	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00564b98	00564b54	CDXTexture__Helper_00564b54	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00564f34	00564f21	__freebuf	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	0056aab0	0056a936	CTexture__Helper_0056a936	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	0056ac37	0056ab1f	CTexture__Helper_0056ab1f	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	0056ad11	0056ab1f	CTexture__Helper_0056ab1f	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	005691e3	00569124	CTexture__Helper_00569124	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00562070	0056202e	CDXTexture__Helper_0056202e	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00568ebb	00568e1e	CDXTexture__Unk_00568e1e	UNCONDITIONAL_CALL
0055f085	CMeshCollisionVolume__Unk_0055f085	00565a7a	0056586a	CTexture__Unk_0056586a	UNCONDITIONAL_CALL
