address	name	signature	status
0x0055d731	CTexture__Unk_0055d731	int CTexture__Unk_0055d731(void)	OK
0x0055dd7b	CDXTexture__Unk_0055dd7b	void CDXTexture__Unk_0055dd7b(void)	OK
0x0055e183	CFastVB__Unk_0055e183	int __cdecl CFastVB__Unk_0055e183(int param_1)	OK
0x0055fa62	CDXTexture__Unk_0055fa62	int __cdecl CDXTexture__Unk_0055fa62(int param_1, uint param_2, int param_3, uint param_4)	FAILED
0x0055fc35	CDXTexture__Unk_0055fc35	void CDXTexture__Unk_0055fc35(void)	OK
0x0056004d	CDXTexture__Unk_0056004d	char * __cdecl CDXTexture__Unk_0056004d(void * param_1)	OK
0x005602ae	CDXTexture__Unk_005602ae	void __cdecl CDXTexture__Unk_005602ae(int param_1)	OK
0x005602d2	CDXTexture__Unk_005602d2	int CDXTexture__Unk_005602d2(void)	OK
0x0056036d	CDXTexture__Unk_0056036d	int CDXTexture__Unk_0056036d(void)	OK
0x00560627	CDXTexture__Unk_00560627	void __cdecl CDXTexture__Unk_00560627(int param_1, int param_2, int param_3, int param_4)	OK
0x005606c5	CDXTexture__Unk_005606c5	int CDXTexture__Unk_005606c5(void)	OK
0x00560b2c	CTexture__Unk_00560b2c	int CTexture__Unk_00560b2c(void)	OK
0x00560b80	CTexture__Unk_00560b80	void __cdecl CTexture__Unk_00560b80(int param_1)	OK
0x00560bfa	CDXTexture__Unk_00560bfa	void CDXTexture__Unk_00560bfa(void)	OK
0x00560c5b	CDXTexture__Unk_00560c5b	void CDXTexture__Unk_00560c5b(void)	OK
0x00560cb1	CDXTexture__Unk_00560cb1	void CDXTexture__Unk_00560cb1(void)	OK
0x00560cc3	CDXTexture__Unk_00560cc3	int CDXTexture__Unk_00560cc3(void)	OK
0x00560d01	CDXTexture__Unk_00560d01	void CDXTexture__Unk_00560d01(void)	OK
0x00560d2a	CDXTexture__Unk_00560d2a	void __cdecl CDXTexture__Unk_00560d2a(void * param_1)	OK
0x00561150	CTexture__Unk_00561150	void CTexture__Unk_00561150(void)	OK
