target_addr	target_name	from_addr	from_function	ref_type
004d20a0	CFEPMultiplayerStart__Unk_004d20a0	005e2f30	<no_function>	DATA
004d20a0	CFEPMultiplayerStart__Unk_004d20a0	005e2cdc	<no_function>	DATA
004d20a0	CFEPMultiplayerStart__Unk_004d20a0	005e1a40	<no_function>	DATA
004d20a0	CFEPMultiplayerStart__Unk_004d20a0	005e134c	<no_function>	DATA
00403730	CFEPMultiplayerStart__Helper_00403730	004d20a3	CFEPMultiplayerStart__Unk_004d20a0	UNCONDITIONAL_CALL
00403730	CFEPMultiplayerStart__Helper_00403730	005e2148	<no_function>	DATA
00403730	CFEPMultiplayerStart__Helper_00403730	005e0e9c	<no_function>	DATA
00403730	CFEPMultiplayerStart__Helper_00403730	005e0540	<no_function>	DATA
00403730	CFEPMultiplayerStart__Helper_00403730	005e3634	<no_function>	DATA
00403730	CFEPMultiplayerStart__Helper_00403730	005e3888	<no_function>	DATA
004fd230	CExplosionInitThing__ctor_like_004fd230	00403750	CFEPMultiplayerStart__Helper_00403730	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	0040378a	CUnitAI__Helper_00403760	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	00403bce	CThing__Unk_00403ba0	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	00403c19	CThing__Unk_00403bf0	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004fd0dd	CUnit__Unk_004fd040	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	0047bf84	CUnitAI__Unk_0047bf60	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004d1f63	CUnitAI__Unk_004d1f10	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004d20ba	CFEPMultiplayerStart__Unk_004d20a0	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	0040352c	CUnit__Unk_00402fa0	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	00428208	CUnitAI__Unk_00428110	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004a00c0	<no_function>	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004dfc73	<no_function>	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004f0b67	<no_function>	UNCONDITIONAL_CALL
004fd230	CExplosionInitThing__ctor_like_004fd230	004f9974	VFuncSlot_00_004f9820	UNCONDITIONAL_CALL
