address	name	signature	status
0x0058669a	CFastVB__Unk_0058669a	int __thiscall CFastVB__Unk_0058669a(void * this, void * param_1, int param_2)	OK
0x005866b6	CFastVB__Unk_005866b6	int __thiscall CFastVB__Unk_005866b6(void * this, void * param_1, int param_2)	OK
0x0058675f	CFastVB__Unk_0058675f	int __thiscall CFastVB__Unk_0058675f(void * this, void * param_1, int param_2)	OK
0x00586994	CFastVB__Unk_00586994	int __thiscall CFastVB__Unk_00586994(void * this, void * param_1, int param_2)	OK
0x005862e9	CFastVB__Unk_005862e9	int __thiscall CFastVB__Unk_005862e9(void * this, void * param_1, int param_2)	OK
0x0058617c	CFastVB__Unk_0058617c	int __thiscall CFastVB__Unk_0058617c(void * this, void * param_1, int param_2)	OK
0x00585c94	CFastVB__Unk_00585c94	int __thiscall CFastVB__Unk_00585c94(void * this, void * param_1, int param_2)	OK
0x00585bef	CFastVB__Unk_00585bef	int __thiscall CFastVB__Unk_00585bef(void * this, void * param_1, int param_2)	OK
0x00585908	CFastVB__Unk_00585908	int __thiscall CFastVB__Unk_00585908(void * this, void * param_1, int param_2)	OK
0x00585924	CFastVB__Unk_00585924	int __thiscall CFastVB__Unk_00585924(void * this, void * param_1, int param_2)	OK
0x005859bc	CFastVB__Unk_005859bc	int __thiscall CFastVB__Unk_005859bc(void * this, void * param_1, int param_2)	OK
0x00586ec7	CFastVB__Unk_00586ec7	int __thiscall CFastVB__Unk_00586ec7(void * this, void * param_1, int param_2)	OK
