address	name	signature
0x00402000	CUnitAI__Helper_00402000	void __fastcall CUnitAI__Helper_00402000(int param_1)
0x00402010	CUnit__Helper_00402010	void __fastcall CUnit__Helper_00402010(int param_1)
0x00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
0x00403650	CMeshRenderer__Helper_00403650	void __thiscall CMeshRenderer__Helper_00403650(void * this, void * param_1, void * param_2)
0x00403730	CExplosionInitThing__Helper_00403730	void __fastcall CExplosionInitThing__Helper_00403730(void * param_1)
0x00403760	CUnitAI__Helper_00403760	void __fastcall CUnitAI__Helper_00403760(void * param_1)
0x004048f0	CMesh__Helper_004048f0	int __cdecl CMesh__Helper_004048f0(int param_1)
0x00406040	CDXCompass__Helper_00406040	double __fastcall CDXCompass__Helper_00406040(int param_1)
0x004062d0	CSquadNormal__Helper_004062d0	void __thiscall CSquadNormal__Helper_004062d0(void * this, void * param_1, float param_2, float param_3, float param_4)
0x00407060	CEngine__Helper_00407060	void __thiscall CEngine__Helper_00407060(void * this, int param_1, int param_2)
0x004097a0	CUnit__Helper_004097a0	void __thiscall CUnit__Helper_004097a0(void * this, void * param_1, void * param_2)
0x00409950	CMonitor__Helper_00409950	void __fastcall CMonitor__Helper_00409950(void * param_1)
0x00409e60	CGeneralVolume__Helper_00409e60	double __stdcall CGeneralVolume__Helper_00409e60(float param_1)
0x0040a580	CMonitor__Helper_0040a580	void __fastcall CMonitor__Helper_0040a580(void * param_1)
0x0040acc0	CBattleEngine__Helper_0040acc0	int __thiscall CBattleEngine__Helper_0040acc0(void * this, void * param_1, void * param_2, int param_3, int param_4)
0x0040b120	CMonitor__Helper_0040b120	void __fastcall CMonitor__Helper_0040b120(void * param_1)
0x0040b6d0	CBattleEngine__Helper_0040b6d0	void __thiscall CBattleEngine__Helper_0040b6d0(void * this, void * param_1, void * param_2)
0x0040c2e0	CEngine__Helper_0040c2e0	int __thiscall CEngine__Helper_0040c2e0(void * this, int param_1, int param_2)
0x0040c340	CEngine__Helper_0040c340	void __thiscall CEngine__Helper_0040c340(void * this, void * param_1, int param_2)
0x0040c3a0	CExplosionInitThing__Helper_0040c3a0	void __fastcall CExplosionInitThing__Helper_0040c3a0(int param_1)
0x0040c3c0	CExplosionInitThing__Helper_0040c3c0	double __fastcall CExplosionInitThing__Helper_0040c3c0(void * param_1)
0x0040c460	CExplosionInitThing__Helper_0040c460	void __fastcall CExplosionInitThing__Helper_0040c460(int param_1)
0x0040c480	CExplosionInitThing__Helper_0040c480	void __fastcall CExplosionInitThing__Helper_0040c480(int param_1)
0x0040c4a0	CExplosionInitThing__Helper_0040c4a0	double __fastcall CExplosionInitThing__Helper_0040c4a0(int param_1)
0x0040c550	CExplosionInitThing__Helper_0040c550	void __fastcall CExplosionInitThing__Helper_0040c550(int param_1)
0x0040c590	CExplosionInitThing__Helper_0040c590	void __fastcall CExplosionInitThing__Helper_0040c590(int param_1)
0x0040c5b0	CRepairPadAI__Helper_0040c5b0	int __fastcall CRepairPadAI__Helper_0040c5b0(int param_1)
0x0040c5e0	CRepairPadAI__Helper_0040c5e0	int __fastcall CRepairPadAI__Helper_0040c5e0(int param_1)
0x0040c630	CDXCompass__Helper_0040c630	double __fastcall CDXCompass__Helper_0040c630(int param_1)
0x0040c650	CBattleEngine__Helper_0040c650	void __fastcall CBattleEngine__Helper_0040c650(int param_1)
0x0040d0f0	CEngine__Helper_0040d0f0	int __fastcall CEngine__Helper_0040d0f0(int param_1)
0x0040d120	CMeshCollisionVolume__Helper_0040d120	void __thiscall CMeshCollisionVolume__Helper_0040d120(void * this, void * param_1, void * param_2, void * param_3)
0x0040d150	CExplosionInitThing__Helper_0040d150	void __thiscall CExplosionInitThing__Helper_0040d150(void * this, void * param_1, void * param_2, float param_3)
0x0040d180	CMeshCollisionVolume__Helper_0040d180	double __thiscall CMeshCollisionVolume__Helper_0040d180(void * this, void * param_1, void * param_2)
0x0040d1a0	CMonitor__Helper_0040d1a0	double __fastcall CMonitor__Helper_0040d1a0(void * param_1)
0x0040d1f0	OID__Helper_0040d1f0	void __thiscall OID__Helper_0040d1f0(void * this, void * param_1, float param_2, float param_3, float param_4)
0x0040d2c0	CSquadNormal__Helper_0040d2c0	void __thiscall CSquadNormal__Helper_0040d2c0(void * this, void * param_1, void * param_2, void * param_3)
0x0040d320	CMCBuggy__Helper_0040d320	void __thiscall CMCBuggy__Helper_0040d320(void * this, void * param_1, void * param_2, void * param_3)
0x0040d5b0	CExplosionInitThing__Helper_0040d5b0	double __fastcall CExplosionInitThing__Helper_0040d5b0(int param_1)
0x0040d5f0	CBattleEngine__Helper_0040d5f0	void __fastcall CBattleEngine__Helper_0040d5f0(int param_1)
0x0040d660	CExplosionInitThing__Helper_0040d660	void __thiscall CExplosionInitThing__Helper_0040d660(void * this, int param_1, void * param_2)
0x0040d7c0	CExplosionInitThing__Helper_0040d7c0	void * __thiscall CExplosionInitThing__Helper_0040d7c0(void * this, int param_1, void * param_2)
0x0040da30	CExplosionInitThing__Helper_0040da30	void * __thiscall CExplosionInitThing__Helper_0040da30(void * this, int param_1, void * param_2)
0x0040dc90	CExplosionInitThing__Helper_0040dc90	void __fastcall CExplosionInitThing__Helper_0040dc90(int param_1)
0x0040ef20	CMonitor__Helper_0040ef20	void __fastcall CMonitor__Helper_0040ef20(int param_1)
0x0040f110	CEngine__Helper_0040f110	void __fastcall CEngine__Helper_0040f110(int param_1)
0x00410210	CBattleEngine__Helper_00410210	void * __thiscall CBattleEngine__Helper_00410210(void * this, void * param_1, int param_2)
0x00412050	CEngine__Helper_00412050	int __thiscall CEngine__Helper_00412050(void * this, void * param_1, int param_2)
0x00412520	CExplosionInitThing__Helper_00412520	int __fastcall CExplosionInitThing__Helper_00412520(void * param_1)
0x00412bc0	CBattleEngine__Helper_00412bc0	void * __thiscall CBattleEngine__Helper_00412bc0(void * this, void * param_1, int param_2)
0x004140d0	CEngine__Helper_004140d0	int __thiscall CEngine__Helper_004140d0(void * this, void * param_1, int param_2)
0x00414610	CExplosionInitThing__Helper_00414610	int __fastcall CExplosionInitThing__Helper_00414610(void * param_1)
0x00416280	CBomberGuide__Helper_00416280	void __fastcall CBomberGuide__Helper_00416280(void * param_1)
0x0041ad10	CMCTentacle__Helper_0041ad10	void __thiscall CMCTentacle__Helper_0041ad10(void * this, void * param_1, void * param_2)
0x00423650	PCPlatform__Helper_00423650	float * __fastcall PCPlatform__Helper_00423650(void * param_1)
0x00423680	PCPlatform__Helper_00423680	void __thiscall PCPlatform__Helper_00423680(void * this, int param_1, float param_2)
0x00423720	Platform__Helper_00423720	void __fastcall Platform__Helper_00423720(void * param_1)
0x00423870	CResourceAccumulator__Helper_00423870	void __thiscall CResourceAccumulator__Helper_00423870(void * this, void * param_1, int param_2)
0x00423910	CMeshPart__Helper_00423910	uint __fastcall CMeshPart__Helper_00423910(uint param_1)
0x00423960	CMeshPart__Helper_00423960	bool __thiscall CMeshPart__Helper_00423960(void * this, int param_1, int param_2, int param_3, int param_4)
0x004239b0	CWorld__Helper_004239b0	int __fastcall CWorld__Helper_004239b0(int param_1)
0x004247a0	CGeneralVolume__Helper_004247a0	void __thiscall CGeneralVolume__Helper_004247a0(void * this, int param_1, float param_2)
0x00424920	CGeneralVolume__Helper_00424920	void __fastcall CGeneralVolume__Helper_00424920(int param_1)
0x00424990	CGeneralVolume__Helper_00424990	void __fastcall CGeneralVolume__Helper_00424990(int param_1)
0x00426fd0	CFastVB__Helper_00426fd0	void __cdecl CFastVB__Helper_00426fd0(int param_1)
0x00428b50	CUnit__Helper_00428b50	void __thiscall CUnit__Helper_00428b50(void * this, int param_1, void * param_2, int param_3)
0x00428cb0	CExplosionInitThing__Helper_00428cb0	void __fastcall CExplosionInitThing__Helper_00428cb0(void * param_1)
0x0042d7d0	CFrontEnd__Helper_0042d7d0	void __cdecl CFrontEnd__Helper_0042d7d0(int param_1)
0x0042da00	CGame__Helper_0042da00	void __cdecl CGame__Helper_0042da00(int param_1)
0x0042e750	CGame__Helper_0042e750	void __thiscall CGame__Helper_0042e750(void * this, void * param_1, float param_2, int param_3)
0x004309e0	CExplosionStatement__Helper_004309e0	void __cdecl CExplosionStatement__Helper_004309e0(void * param_1)
0x00430e60	CComponentStatement__Helper_00430e60	void __cdecl CComponentStatement__Helper_00430e60(void * param_1)
