slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e4670	0044d210	CUnitAI__Unk_0044d210	void __thiscall CUnitAI__Unk_0044d210(void * this, int param_1, int param_2)
1	005e4674	004f3710	CThing__RenderImposter	void __fastcall CThing__RenderImposter(int param_1)
2	005e4678	00510110	<none>	<none>
3	005e467c	004f4480	CComplexThing__Hit	void __thiscall CComplexThing__Hit(void * this, int param_1, int param_2)
4	005e4680	0044cd20	CUnitAI__Unk_0044cd20	void __thiscall CUnitAI__Unk_0044cd20(void * this, void * param_1, float param_2)
5	005e4684	00401510	<none>	<none>
6	005e4688	004f4120	CThing__SetName	undefined CThing__SetName(void)
7	005e468c	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
8	005e4690	0044d1d0	<none>	<none>
9	005e4694	004014b0	<none>	<none>
10	005e4698	004014a0	<none>	<none>
11	005e469c	004bfc60	<none>	<none>
12	005e46a0	004bfc60	<none>	<none>
13	005e46a4	00415a90	<none>	<none>
14	005e46a8	0044cd80	<none>	<none>
15	005e46ac	00452b60	CFrontEndPage__Process_NoOp	void __stdcall CFrontEndPage__Process_NoOp(void * this, int state)
16	005e46b0	004f3d30	<none>	<none>
17	005e46b4	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
18	005e46b8	004014c0	CFrontEndPage__ActiveNotification_NoOp	void __stdcall CFrontEndPage__ActiveNotification_NoOp(void * this, int from_page)
19	005e46bc	00459990	CFrontEndPage__DeActiveNotification	void __cdecl CFrontEndPage__DeActiveNotification(void * this)
20	005e46c0	004014c0	CFrontEndPage__ActiveNotification_NoOp	void __stdcall CFrontEndPage__ActiveNotification_NoOp(void * this, int from_page)
21	005e46c4	004014a0	<none>	<none>
22	005e46c8	00452b60	CFrontEndPage__Process_NoOp	void __stdcall CFrontEndPage__Process_NoOp(void * this, int state)
23	005e46cc	004f45a0	CUnit__Unk_004f45a0	int __fastcall CUnit__Unk_004f45a0(int param_1)
