slot	entry_addr	ptr	ptr_name	ptr_signature
0	005e46f0	0044d1f0	CUnitAI__Unk_0044d1f0	void __fastcall CUnitAI__Unk_0044d1f0(void * param_1)
1	005e46f4	00402010	CUnit__Helper_00402010	void __fastcall CUnit__Helper_00402010(int param_1)
2	005e46f8	00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
3	005e46fc	00510140	<none>	<none>
4	005e4700	006184d8	<none>	<none>
5	005e4704	004040a0	<none>	<none>
6	005e4708	004040d0	<none>	<none>
7	005e470c	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
8	005e4710	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
9	005e4714	004013f0	<none>	<none>
10	005e4718	004de700	Return1f	float __cdecl Return1f(void * this)
11	005e471c	004f45c0	<none>	<none>
12	005e4720	004014d0	<none>	<none>
13	005e4724	00401400	<none>	<none>
14	005e4728	004040a0	<none>	<none>
15	005e472c	004040a0	<none>	<none>
16	005e4730	00405910	<none>	<none>
17	005e4734	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
18	005e4738	00405930	CControllerDefinition__VFunc_03_00405930	int __thiscall CControllerDefinition__VFunc_03_00405930(void * this)
19	005e473c	00405920	<none>	<none>
20	005e4740	004bfc60	<none>	<none>
21	005e4744	004de700	Return1f	float __cdecl Return1f(void * this)
22	005e4748	004014a0	<none>	<none>
23	005e474c	00401480	<none>	<none>
