address	name	signature	status
0x00479db0	CExplosionInitThing__Unk_00479db0	void __fastcall CExplosionInitThing__Unk_00479db0(int param_1)	OK
0x00479f30	CUnitAI__Unk_00479f30	double __fastcall CUnitAI__Unk_00479f30(void * param_1)	OK
0x0047a0b0	CUnitAI__Unk_0047a0b0	double __fastcall CUnitAI__Unk_0047a0b0(int param_1)	OK
0x0047a160	CExplosionInitThing__Unk_0047a160	void __fastcall CExplosionInitThing__Unk_0047a160(void * param_1)	OK
0x0047bf60	CUnitAI__Unk_0047bf60	void __fastcall CUnitAI__Unk_0047bf60(void * param_1)	OK
0x0047cea0	CUnitAI__Unk_0047cea0	void __fastcall CUnitAI__Unk_0047cea0(int param_1)	OK
0x0047d670	CUnitAI__Unk_0047d670	void __fastcall CUnitAI__Unk_0047d670(int param_1)	OK
0x0047e870	CUnitAI__Unk_0047e870	int __fastcall CUnitAI__Unk_0047e870(int param_1)	OK
0x0047fb00	CUnitAI__Unk_0047fb00	void __thiscall CUnitAI__Unk_0047fb00(void * this, void * param_1, int param_2)	OK
0x004804c0	CExplosionInitThing__Unk_004804c0	void __thiscall CExplosionInitThing__Unk_004804c0(void * this, int param_1, void * param_2)	OK
0x00480c90	CUnitAI__Unk_00480c90	void __thiscall CUnitAI__Unk_00480c90(void * this, int param_1, void * param_2)	OK
0x00480db0	CUnitAI__Unk_00480db0	void __thiscall CUnitAI__Unk_00480db0(void * this, int param_1, void * param_2)	OK
0x00481060	CUnitAI__Unk_00481060	void __thiscall CUnitAI__Unk_00481060(void * this, void * param_1, void * param_2, void * param_3)	OK
