target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00479db0	CExplosionInitThing__Unk_00479db0	0047a392	<none>	<no_function>	UNCONDITIONAL_CALL
00479f30	CUnitAI__Unk_00479f30	004963ae	<none>	<no_function>	UNCONDITIONAL_CALL
0047a0b0	CUnitAI__Unk_0047a0b0	004963ce	<none>	<no_function>	UNCONDITIONAL_CALL
0047a160	CExplosionInitThing__Unk_0047a160	005e0cc0	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e2f34	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e2ce0	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e1a44	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e1350	<none>	<no_function>	DATA
0047cea0	CUnitAI__Unk_0047cea0	00489dca	<none>	<no_function>	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d2c59	005d2c53	Unwind@005d2c53	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d2ed9	005d2ed3	Unwind@005d2ed3	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d2f0e	005d2f08	Unwind@005d2f08	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d34c9	005d34c3	Unwind@005d34c3	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d34fe	005d34f8	Unwind@005d34f8	UNCONDITIONAL_CALL
0047e870	CUnitAI__Unk_0047e870	00490e13	00490e10	CUnitAI__Unk_00490e10	UNCONDITIONAL_CALL
0047fb00	CUnitAI__Unk_0047fb00	00533b5d	<none>	<no_function>	UNCONDITIONAL_CALL
004804c0	CExplosionInitThing__Unk_004804c0	005e17d8	<none>	<no_function>	DATA
00480c90	CUnitAI__Unk_00480c90	004812ec	004812d0	CHLCollisionDetector__VFunc_00_004812d0	UNCONDITIONAL_CALL
00480c90	CUnitAI__Unk_00480c90	00481008	00480ed0	CUnitAI__Helper_00480ed0	UNCONDITIONAL_CALL
00480db0	CUnitAI__Unk_00480db0	004811d2	00481060	CUnitAI__Unk_00481060	UNCONDITIONAL_CALL
00481060	CUnitAI__Unk_00481060	00426a0d	<none>	<no_function>	UNCONDITIONAL_CALL
