target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
0048ff90	CExplosionInitThing__Unk_0048ff90	00472c67	00472b40	CDXEngine__Helper_00472b40	UNCONDITIONAL_CALL
0048ff90	CExplosionInitThing__Unk_0048ff90	004d0be8	004d0810	CPauseMenu__ButtonPressed	UNCONDITIONAL_CALL
00490e10	CUnitAI__Unk_00490e10	00490a15	<none>	<no_function>	UNCONDITIONAL_CALL
0047e870	CUnitAI__Unk_0047e870	00490e13	00490e10	CUnitAI__Unk_00490e10	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d2c59	005d2c53	Unwind@005d2c53	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d2ed9	005d2ed3	Unwind@005d2ed3	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d2f0e	005d2f08	Unwind@005d2f08	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d34c9	005d34c3	Unwind@005d34c3	UNCONDITIONAL_CALL
0047d670	CUnitAI__Unk_0047d670	005d34fe	005d34f8	Unwind@005d34f8	UNCONDITIONAL_CALL
00479db0	CExplosionInitThing__Unk_00479db0	0047a392	<none>	<no_function>	UNCONDITIONAL_CALL
00479f30	CUnitAI__Unk_00479f30	004963ae	<none>	<no_function>	UNCONDITIONAL_CALL
0047a0b0	CUnitAI__Unk_0047a0b0	004963ce	<none>	<no_function>	UNCONDITIONAL_CALL
0047a160	CExplosionInitThing__Unk_0047a160	005e0cc0	<none>	<no_function>	DATA
