target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00479f30	CUnitAI__Unk_00479f30	004963ae	<none>	<no_function>	UNCONDITIONAL_CALL
0047a0b0	CUnitAI__Unk_0047a0b0	004963ce	<none>	<no_function>	UNCONDITIONAL_CALL
0047bf60	CUnitAI__Unk_0047bf60	005e2f34	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e2ce0	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e1a44	<none>	<no_function>	DATA
0047bf60	CUnitAI__Unk_0047bf60	005e1350	<none>	<no_function>	DATA
00489040	CUnitAI__Unk_00489040	005e2854	<none>	<no_function>	DATA
0048ff90	CExplosionInitThing__Unk_0048ff90	00472c67	00472b40	CDXEngine__Helper_00472b40	UNCONDITIONAL_CALL
0048ff90	CExplosionInitThing__Unk_0048ff90	004d0be8	004d0810	CPauseMenu__ButtonPressed	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	0044a49c	0044a2d0	CDXEngine__Helper_0044a2d0	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	0044a569	0044a2d0	CDXEngine__Helper_0044a2d0	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	00540d73	00540c30	CDXFrontEnd__SetupRenderMatricesAndProjection	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	00540dd5	00540c30	CDXFrontEnd__SetupRenderMatricesAndProjection	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	00540e9a	00540c30	CDXFrontEnd__SetupRenderMatricesAndProjection	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	004509cb	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	00450a32	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	00450b00	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	004ddd4b	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	004dde15	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	0051e773	0051e1b0	CFEPMultiplayerStart__Render	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	0051e7e2	0051e1b0	CFEPMultiplayerStart__Render	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	0051e8b0	0051e1b0	CFEPMultiplayerStart__Render	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	0052259c	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	00522603	<none>	<no_function>	UNCONDITIONAL_CALL
004901e0	CUnitAI__Unk_004901e0	005226d1	<none>	<no_function>	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	004a6c3f	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	004a7cbb	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	00549c34	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	0049b029	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	004edb78	004ec2f0	CStaticShadows__BuildShadowMaps	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	0049c11b	<none>	<no_function>	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	0049c18d	<none>	<no_function>	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	0049ddfe	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
0049bbb0	CUnitAI__Unk_0049bbb0	0049dede	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	0049ae2d	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	0049b013	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	004edb5c	004ec2f0	CStaticShadows__BuildShadowMaps	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	0049c107	<none>	<no_function>	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	0049c179	<none>	<no_function>	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	0049dde2	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
0049bc10	CUnitAI__Unk_0049bc10	0049dec2	0049dcd0	CMCTentacle__UpdateSpline	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	004a6c2f	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	004a7cab	004a5b70	CMesh__Load	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	004b462c	004b4250	CMeshPart__Merge	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	004b482b	004b4250	CMeshPart__Merge	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	00549c24	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	0054a6de	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	0049ae34	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	0049b01a	00499e30	CMCMech__UpdateBone	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	004edb68	004ec2f0	CStaticShadows__BuildShadowMaps	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	0049c10e	<none>	<no_function>	UNCONDITIONAL_CALL
0049bc40	CUnitAI__Unk_0049bc40	0049c180	<none>	<no_function>	UNCONDITIONAL_CALL
