address	name	signature	status
0x004b4ba0	CEngine__Unk_004b4ba0	int CEngine__Unk_004b4ba0(void)	OK
0x004b4cd0	CEngine__Unk_004b4cd0	int CEngine__Unk_004b4cd0(void)	OK
0x004b4de0	CEngine__Unk_004b4de0	int CEngine__Unk_004b4de0(void)	OK
0x004b5330	OID__Unk_004b5330	int OID__Unk_004b5330(void)	OK
0x004b5ad0	OID__Unk_004b5ad0	int OID__Unk_004b5ad0(void)	OK
0x004b7300	CUnitAI__Unk_004b7300	void * __thiscall CUnitAI__Unk_004b7300(void * this, void * param_1, int param_2)	OK
0x004b7b70	CUnitAI__Unk_004b7b70	void __fastcall CUnitAI__Unk_004b7b70(int param_1)	OK
0x004b7ea0	CUnitAI__Unk_004b7ea0	void __fastcall CUnitAI__Unk_004b7ea0(void * param_1)	OK
0x004b8020	CUnitAI__Unk_004b8020	void __fastcall CUnitAI__Unk_004b8020(void * param_1)	OK
0x004b8800	CUnitAI__Unk_004b8800	void __fastcall CUnitAI__Unk_004b8800(int param_1)	OK
