target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
004b4ba0	CEngine__Unk_004b4ba0	004b4dbc	004b4cd0	CEngine__Unk_004b4cd0	UNCONDITIONAL_CALL
004b4ba0	CEngine__Unk_004b4ba0	004b4ca1	004b4ba0	CEngine__Unk_004b4ba0	UNCONDITIONAL_CALL
004b4cd0	CEngine__Unk_004b4cd0	004b6296	004b6260	CSphere__Helper_004b6260	UNCONDITIONAL_CALL
004b4cd0	CEngine__Unk_004b4cd0	004b4e81	004b4de0	CEngine__Unk_004b4de0	UNCONDITIONAL_CALL
004b4de0	CEngine__Unk_004b4de0	00445130	00445070	CDiveBomber__SelectTarget	UNCONDITIONAL_CALL
004b4de0	CEngine__Unk_004b4de0	004ad70a	004ad600	CMeshCollisionVolume__SetPartBounds	UNCONDITIONAL_CALL
004b4de0	CEngine__Unk_004b4de0	004dd1cf	<none>	<no_function>	UNCONDITIONAL_CALL
004b4de0	CEngine__Unk_004b4de0	004dede9	<none>	<no_function>	UNCONDITIONAL_CALL
004b5330	OID__Unk_004b5330	004b4bcd	004b4ba0	CEngine__Unk_004b4ba0	UNCONDITIONAL_CALL
004b5330	OID__Unk_004b5330	004b5d95	004b5ad0	OID__Unk_004b5ad0	UNCONDITIONAL_CALL
004b5ad0	OID__Unk_004b5ad0	004b6324	004b6260	CSphere__Helper_004b6260	UNCONDITIONAL_CALL
004b5ad0	OID__Unk_004b5ad0	004b5e4b	004b5ad0	OID__Unk_004b5ad0	UNCONDITIONAL_CALL
004b7300	CUnitAI__Unk_004b7300	<none>	<none>	<none>	<none>
004b7b70	CUnitAI__Unk_004b7b70	005342ea	<none>	<no_function>	UNCONDITIONAL_CALL
004b7ea0	CUnitAI__Unk_004b7ea0	004b81f2	<none>	<no_function>	UNCONDITIONAL_CALL
004b8020	CUnitAI__Unk_004b8020	004b7fc5	004b7ea0	CUnitAI__Unk_004b7ea0	UNCONDITIONAL_CALL
004b8020	CUnitAI__Unk_004b8020	004b8006	004b7ea0	CUnitAI__Unk_004b7ea0	UNCONDITIONAL_CALL
004b8020	CUnitAI__Unk_004b8020	004b81fd	<none>	<no_function>	UNCONDITIONAL_CALL
004b8800	CUnitAI__Unk_004b8800	00517f3b	00517f10	CSoundManager__ReinitializeAfterDeviceLoss	UNCONDITIONAL_CALL
004b8800	CUnitAI__Unk_004b8800	004b8865	004b8850	CDXEngine__Helper_004b8850	UNCONDITIONAL_CALL
004b8800	CUnitAI__Unk_004b8800	0046f69e	0046f550	CGame__DeclarePlayerDead	UNCONDITIONAL_CALL
004b8800	CUnitAI__Unk_004b8800	004b8060	004b8020	CUnitAI__Unk_004b8020	UNCONDITIONAL_CALL
