address	name	signature	status
0x00511bc0	CVBufTexture__Unk_00511bc0	int * __thiscall CVBufTexture__Unk_00511bc0(void * this, int param_1, int param_2, int param_3)	OK
0x00511c10	CVBufTexture__Unk_00511c10	void __thiscall CVBufTexture__Unk_00511c10(void * this, int param_1, void * param_2)	OK
0x00512470	CVBufTexture__Unk_00512470	void __fastcall CVBufTexture__Unk_00512470(int param_1)	OK
0x00512630	CVBufTexture__Unk_00512630	void __fastcall CVBufTexture__Unk_00512630(int param_1)	OK
0x00512fc0	CVBufTexture__Unk_00512fc0	void __fastcall CVBufTexture__Unk_00512fc0(int param_1)	OK
0x005230e0	CVBufTexture__Unk_005230e0	int * __fastcall CVBufTexture__Unk_005230e0(int param_1)	OK
0x00523b30	CVBufTexture__Unk_00523b30	void CVBufTexture__Unk_00523b30(void)	OK
0x00523bc0	CVBufTexture__Unk_00523bc0	uint __cdecl CVBufTexture__Unk_00523bc0(float param_1, float param_2, float param_3, float param_4, int param_5)	OK
0x00523d40	CVBufTexture__Unk_00523d40	uint __cdecl CVBufTexture__Unk_00523d40(float param_1, float param_2, float param_3, float param_4)	OK
0x00523df0	CVBufTexture__Unk_00523df0	int __fastcall CVBufTexture__Unk_00523df0(int param_1)	OK
0x00504a50	CVBufTexture__Unk_00504a50	void __fastcall CVBufTexture__Unk_00504a50(void * param_1)	OK
0x0050ab60	CVBufTexture__Unk_0050ab60	void CVBufTexture__Unk_0050ab60(void)	OK
