target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00577ea4	CTexture__Helper_00577ea4	00577fce	00577fb7	Math__BezierBlendVec4	UNCONDITIONAL_CALL
00577ea4	CTexture__Helper_00577ea4	00577fe4	00577fb7	Math__BezierBlendVec4	UNCONDITIONAL_CALL
00577ea4	CTexture__Helper_00577ea4	00578002	00577fb7	Math__BezierBlendVec4	UNCONDITIONAL_CALL
00577ea4	CTexture__Helper_00577ea4	00578099	0057804e	CTexture__Unk_0057804e	UNCONDITIONAL_CALL
00577ea4	CTexture__Helper_00577ea4	005780af	0057804e	CTexture__Unk_0057804e	UNCONDITIONAL_CALL
00577ea4	CTexture__Helper_00577ea4	005780c9	0057804e	CTexture__Unk_0057804e	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	0057806c	0057804e	CTexture__Unk_0057804e	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	0057869f	00578643	CTexture__Unk_00578643	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	0057872c	005786c0	CDXTexture__Unk_005786c0	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	00578822	005787e8	CDXTexture__Unk_005787e8	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	00578918	00578885	CDXTexture__Unk_00578885	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	005789e5	00578941	CDXTexture__Unk_00578941	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	00577c12	<none>	<no_function>	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	00577d05	<none>	<no_function>	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	00577d90	<none>	<no_function>	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	00577e40	<none>	<no_function>	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	0057811f	<none>	<no_function>	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	005784f7	<none>	<no_function>	UNCONDITIONAL_CALL
00575986	CDXTexture__Helper_00575986	005791c9	00579184	CFastVB__NormalizeQuaternionCopy	UNCONDITIONAL_CALL
00577267	CDXEngine__Helper_00577267	0054af55	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
00577267	CDXEngine__Helper_00577267	0054af7a	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
00575d2d	CFastVB__Helper_00575d2d	0059fbce	0059fa5d	CFastVB__Helper_0059fa5d	UNCONDITIONAL_CALL
00575d2d	CFastVB__Helper_00575d2d	005a1fcc	005a1e5b	CFastVB__Helper_005a1e5b	UNCONDITIONAL_CALL
00575d51	CFastVB__Helper_00575d51	0059fd34	0059fbeb	CFastVB__Helper_0059fbeb	UNCONDITIONAL_CALL
00575d51	CFastVB__Helper_00575d51	005a2132	005a1fe9	CFastVB__Helper_005a1fe9	UNCONDITIONAL_CALL
00575d75	CFastVB__Helper_00575d75	0059fe44	0059fd51	CFastVB__Helper_0059fd51	UNCONDITIONAL_CALL
00575d75	CFastVB__Helper_00575d75	005a2242	005a214f	CFastVB__Helper_005a214f	UNCONDITIONAL_CALL
00575d99	CTexture__Helper_00575d99	005774ea	005774ae	Math__BuildAxisAngleRotationMatrix	UNCONDITIONAL_CALL
00575d99	CTexture__Helper_00575d99	005779bb	005779ae	CFastVB__BuildAxisAngleQuaternion	UNCONDITIONAL_CALL
00575d99	CTexture__Helper_00575d99	005845cc	00584535	CTexture__PackTexels_Dither_Bits8_8_FromAuxLookup	UNCONDITIONAL_CALL
00575d99	CTexture__Helper_00575d99	00578305	<none>	<no_function>	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	00477267	00476fe0	CVBufTexture__Helper_00476fe0	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	004772ab	00476fe0	CVBufTexture__Helper_00476fe0	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	00477824	00476fe0	CVBufTexture__Helper_00476fe0	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	004778af	00476fe0	CVBufTexture__Helper_00476fe0	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	00501fea	00501cd0	CVertexShader__ApplyRenderStateShaderConstants	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	005037f7	00502920	CVertexShader__ApplyCustomRenderStateShaderConstants	UNCONDITIONAL_CALL
0057600b	CVBufTexture__Helper_0057600b	00558c28	005588f0	CVBufTexture__RenderModePass	UNCONDITIONAL_CALL
0057618b	CFastVB__Helper_0057618b	0058898f	005888bc	CFastVB__InterpolateDualProfileStreams	UNCONDITIONAL_CALL
0057618b	CFastVB__Helper_0057618b	00588ba0	005888bc	CFastVB__InterpolateDualProfileStreams	UNCONDITIONAL_CALL
00576297	CDXEngine__Helper_00576297	00442219	00441ea0	CDXEngine__Helper_00441ea0	UNCONDITIONAL_CALL
00576297	CDXEngine__Helper_00576297	0054a0c8	00549570	CMeshRenderer__RenderMeshCore	UNCONDITIONAL_CALL
00576297	CDXEngine__Helper_00576297	00551398	00551300	CDXEngine__PushTransformState	UNCONDITIONAL_CALL
0057923a	CTexture__Unk_0057923a	006570f0	<none>	<no_function>	DATA
00578bad	CDXTexture__Unk_00578bad	00657158	<none>	<no_function>	DATA
00578f53	CFastVB__ApplyOptionalTransformPasses	0065715c	<none>	<no_function>	DATA
