0x005acac0 CDXTexture__BuildJpegHuffmanDecodeTable
0x005aceb0 CDXTexture__DecodeHuffmanSymbolFromBitstream
0x005acf90 CDXTexture__FinalizeScanBitstreamState
0x005aefa0 CDXTexture__ConvertYccBlocksToRgb_Sse
0x005b10b0 CDXTexture__InitColorTransformLuts
0x005b1400 CDXTexture__ConvertYccScanlinePairToRgb_Scalar
0x005b1630 CDXTexture__ConvertYccScanlinePairToRgb_Sse
0x005b1c00 CDXTexture__AllocAligned16
0x005b1c50 CDXTexture__GetBufferTailAvailable
0x005b1d50 CDXTexture__InitHostIoCallbacks
0x005b1da0 CDXTexture__GetDefaultDecodeBudgetBytes
0x005b25e0 CDXTexture__CloseAsyncDecodeHandles
0x005b3170 CDXTexture__BuildJpegHuffmanEncodeTable
0x005b3920 CDXTexture__EncodeMcuBlocksForScan
0x005b39d0 CDXTexture__BuildCanonicalHuffmanCodes
0x005b3fd0 CDXTexture__FlushEntropyBitWriter
0x005b4080 CDXTexture__EmitRestartMarkerAndReset
0x005b44c0 CDXTexture__WriteEncodedBlockWithRestartControl
0x005b6500 CDXTexture__UpsampleHorizontal_Average2_Scalar
0x005b65a0 CDXTexture__UpsampleHorizontal_Average2_Sse
0x005b6650 CDXTexture__UpsampleBilinear2x2_Scalar
0x005b6720 CDXTexture__UpsampleBilinear2x2_Sse
0x005b6c30 CDXTexture__UpsampleDispatchHorizontal
0x005b6c90 CDXTexture__UpsampleDispatchBilinear
