0x005b1b80 CDXTexture__InitColorTransformContext
0x005b1c30 CDXTexture__FreeAligned16
0x005b1db0 CDXTexture__ResetDecodeWindowState
0x005b2613 CDXTexture__Adler32_Update
0x005b3e80 CDXTexture__InitJpegEntropyEncoderState
0x005b3ec0 CDXTexture__WriteEntropyBitsWithByteStuffing
0x005b5b80 CDXTexture__InitJpegDctQuantPipeline
0x005b60a0 CDXTexture__BuildComponentWorkBufferViews
0x005b61e0 CDXTexture__InitComponentSampleBuffers
0x005b6290 CDXTexture__PadRowsWithLastSample
0x005b6cf0 CDXTexture__InitUpsamplerDispatch
0x005b7580 CDXTexture__InitColorConverterDispatch
0x005b8110 CDXTexture__InitJpegScanController
0x005b83b9 CFastVB__SinCosVec4Approx
0x005bcfa0 CDXTexture__InflateCodesState_Create
0x005bcfd3 CDXTexture__InflateCodesState_Process
0x005bd8ba CDXTexture__InflateDynamicTree_BuildBitLengthTree
0x005bd933 CDXTexture__InflateDynamicTree_BuildLitDistTrees
0x005bda2d CDXTexture__InflateFixedTrees_InitDescriptors
0x005bda5e CDXTexture__InflateOutputWindowFlush
