address	name	signature	status
0x005b1b80	CDXTexture__Helper_005b1b80	void __stdcall CDXTexture__Helper_005b1b80(int param_1)	OK
0x005b1c30	CDXTexture__Helper_005b1c30	void __stdcall CDXTexture__Helper_005b1c30(int param_1, int param_2)	OK
0x005b1db0	CDXTexture__Helper_005b1db0	void __stdcall CDXTexture__Helper_005b1db0(void * param_1, int param_2, void * param_3)	OK
0x005b2613	CDXTexture__Helper_005b2613	uint __stdcall CDXTexture__Helper_005b2613(uint param_1, void * param_2, uint param_3)	OK
0x005b3e80	CDXTexture__Helper_005b3e80	void __stdcall CDXTexture__Helper_005b3e80(int param_1)	OK
0x005b3ec0	CDXTexture__Helper_005b3ec0	void __stdcall CDXTexture__Helper_005b3ec0(uint param_1)	OK
0x005b5b80	CDXTexture__Helper_005b5b80	void __stdcall CDXTexture__Helper_005b5b80(void * param_1)	OK
0x005b60a0	CDXTexture__Helper_005b60a0	void __stdcall CDXTexture__Helper_005b60a0(int param_1)	OK
0x005b61e0	CDXTexture__Helper_005b61e0	void __stdcall CDXTexture__Helper_005b61e0(void * param_1, int param_2)	OK
0x005b6290	CDXTexture__Helper_005b6290	void __stdcall CDXTexture__Helper_005b6290(int param_1, int param_2, int param_3, int param_4)	OK
0x005b6cf0	CDXTexture__Helper_005b6cf0	void __stdcall CDXTexture__Helper_005b6cf0(void * param_1)	OK
0x005b7580	CDXTexture__Helper_005b7580	void __stdcall CDXTexture__Helper_005b7580(void * param_1)	OK
0x005b8110	CDXTexture__Helper_005b8110	void __stdcall CDXTexture__Helper_005b8110(int param_1)	OK
0x005b83b9	CDXTexture__Helper_005b83b9	void __stdcall CDXTexture__Helper_005b83b9(void * param_1, void * param_2, void * param_3)	OK
0x005bcfa0	CDXTexture__Helper_005bcfa0	int CDXTexture__Helper_005bcfa0(void)	OK
0x005bcfd3	CDXTexture__Helper_005bcfd3	void __stdcall CDXTexture__Helper_005bcfd3(uint param_1, void * param_2, int param_3)	OK
0x005bd8ba	CDXTexture__Helper_005bd8ba	int __stdcall CDXTexture__Helper_005bd8ba(int param_1, void * param_2, int param_3, int param_4, int param_5)	OK
0x005bd933	CDXTexture__Helper_005bd933	int __stdcall CDXTexture__Helper_005bd933(void * param_1, void * param_2, void * param_3, void * param_4, void * param_5)	OK
0x005bda2d	CDXTexture__Helper_005bda2d	int CDXTexture__Helper_005bda2d(void)	OK
0x005bda5e	CDXTexture__Helper_005bda5e	int __stdcall CDXTexture__Helper_005bda5e(void * param_1, int param_2, int param_3)	OK
