target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
005b1b80	CDXTexture__Helper_005b1b80	0059b26f	0059b1d0	CTexture__Helper_0059b1d0	UNCONDITIONAL_CALL
005b1c30	CDXTexture__Helper_005b1c30	0059c480	0059c3f0	CDXTexture__ReleaseDecodeBankLists	UNCONDITIONAL_CALL
005b1c30	CDXTexture__Helper_005b1c30	0059c4b4	0059c3f0	CDXTexture__ReleaseDecodeBankLists	UNCONDITIONAL_CALL
005b1c30	CDXTexture__Helper_005b1c30	0059c4f1	<none>	<no_function>	UNCONDITIONAL_CALL
005b1db0	CDXTexture__Helper_005b1db0	0059c77f	0059c750	CDXTexture__BeginAsyncDecodeJob	UNCONDITIONAL_CALL
005b1db0	CDXTexture__Helper_005b1db0	005b1e87	005b1e16	CTexture__Helper_005b1e16	UNCONDITIONAL_CALL
005b1db0	CDXTexture__Helper_005b1db0	005b25ee	005b25e0	CDXTexture__CloseAsyncDecodeHandles	UNCONDITIONAL_CALL
005b1db0	CDXTexture__Helper_005b1db0	0059ca07	0059c8c1	CDXTexture__Helper_0059c8c1	UNCONDITIONAL_CALL
005b2613	CDXTexture__Helper_005b2613	0059c86d	0059c7cc	CTexture__Helper_0059c7cc	DATA
005b3e80	CDXTexture__Helper_005b3e80	0059f30a	0059f2b0	CTexture__Helper_0059f2b0	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4529	005b44c0	CDXTexture__WriteEncodedBlockWithRestartControl	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b40a2	005b4080	CDXTexture__EmitRestartMarkerAndReset	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b402d	005b3fd0	CDXTexture__FlushEntropyBitWriter	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b403c	005b3fd0	CDXTexture__FlushEntropyBitWriter	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4069	005b3fd0	CDXTexture__FlushEntropyBitWriter	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4262	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4272	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b43d8	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4438	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4444	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b46ac	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b46c9	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4729	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b474c	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4769	<none>	<no_function>	UNCONDITIONAL_CALL
005b3ec0	CDXTexture__Helper_005b3ec0	005b4838	<none>	<no_function>	UNCONDITIONAL_CALL
005b5b80	CDXTexture__Helper_005b5b80	0059f2dc	0059f2b0	CTexture__Helper_0059f2b0	UNCONDITIONAL_CALL
005b60a0	CDXTexture__Helper_005b60a0	005b6224	005b61e0	CDXTexture__Helper_005b61e0	UNCONDITIONAL_CALL
005b61e0	CDXTexture__Helper_005b61e0	0059f2d6	0059f2b0	CTexture__Helper_0059f2b0	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b65ca	005b65a0	CDXTexture__UpsampleHorizontal_Average2_Sse	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b674a	005b6720	CDXTexture__UpsampleBilinear2x2_Sse	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b63d9	<none>	<no_function>	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b64eb	<none>	<no_function>	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b6abc	<none>	<no_function>	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b6524	005b6500	CDXTexture__UpsampleHorizontal_Average2_Scalar	UNCONDITIONAL_CALL
005b6290	CDXTexture__Helper_005b6290	005b6675	005b6650	CDXTexture__UpsampleBilinear2x2_Scalar	UNCONDITIONAL_CALL
005b6cf0	CDXTexture__Helper_005b6cf0	0059f2ce	0059f2b0	CTexture__Helper_0059f2b0	UNCONDITIONAL_CALL
005b7580	CDXTexture__Helper_005b7580	0059f2c8	0059f2b0	CTexture__Helper_0059f2b0	UNCONDITIONAL_CALL
005b8110	CDXTexture__Helper_005b8110	0059f2b8	0059f2b0	CTexture__Helper_0059f2b0	UNCONDITIONAL_CALL
005b83b9	CDXTexture__Helper_005b83b9	005a372b	005a36cf	CFastVB__Helper_005a36cf	UNCONDITIONAL_CALL
005bcfa0	CDXTexture__Helper_005bcfa0	005b1fbf	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bcfa0	CDXTexture__Helper_005bcfa0	005b2410	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bcfd3	CDXTexture__Helper_005bcfd3	005b2455	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bd8ba	CDXTexture__Helper_005bd8ba	005b225a	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bd933	CDXTexture__Helper_005bd933	005b23f3	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda2d	CDXTexture__Helper_005bda2d	005b1fad	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CDXTexture__Helper_005bda5e	005b1f00	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CDXTexture__Helper_005bda5e	005b20a6	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CDXTexture__Helper_005bda5e	005b2574	005b1e94	CTexture__Helper_005b1e94	UNCONDITIONAL_CALL
005bda5e	CDXTexture__Helper_005bda5e	005bd466	005bcfd3	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
005bda5e	CDXTexture__Helper_005bda5e	005bd316	005bcfd3	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
005bda5e	CDXTexture__Helper_005bda5e	005bd3d2	005bcfd3	CDXTexture__Helper_005bcfd3	UNCONDITIONAL_CALL
