0x0059c670 CDXTexture__CeilDiv
0x0059c690 CDXTexture__AlignUpToMultiple
0x0059c8ab CDXTexture__InflateInit_WindowBits15
0x0059c8c1 CDXTexture__InflateStream_ProcessZlibState
0x0059cc24 CDXTexture__AllocZeroedDecodeState
0x0059cc68 CDXTexture__FreeDecodeState
0x0059ccb3 CDXTexture__FreeDecodeStateIfOwnerPresent
0x0059ce20 CDXTexture__ExpandPackedPixelsToScanline
0x0059d036 CDXTexture__ExpandAdam7PassRowInPlace
0x0059d301 CDXTexture__ApplyPngScanlineFilter
0x0059d47a CDXTexture__InitPngImageBuffersAndPassGeometry
0x0059d614 CDXTexture__FinalizePngChunkAndVerifyCrc
0x0059d699 CDXTexture__ParsePngChunk_IHDR
0x0059d879 CDXTexture__ParsePngChunk_PLTE
0x0059d992 CDXTexture__ParsePngChunk_tRNS
0x0059dda2 CDXTexture__ProcessIdatChunkDataAndQueueDecode
0x0059dfb2 CDXTexture__Crc32_Update
0x0059e0b0 CDXTexture__WriteJpegMarkerByte
0x0059e970 CDXTexture__WriteJpegApp0JfifSegment
0x0059ee20 CDXTexture__WriteJpegSegmentMarkerAndLength
0x0059eed0 CDXTexture__WriteJpegStartOfImageAndMetadata
0x0059ef60 CDXTexture__WriteJpegQuantTablesAndFrame
0x0059f050 CDXTexture__WriteJpegHuffmanAndScanHeaders
0x0059f110 CDXTexture__WriteJpegEndOfImage
