0x00590e10	CDXTexture__Helper_00590e10	int __stdcall CDXTexture__Helper_00590e10(void * param_1, int param_2, int param_3)
0x00590ea0	CDXTexture__Helper_00590ea0	int __stdcall CDXTexture__Helper_00590ea0(void * param_1)
0x00590f80	CDXTexture__Helper_00590f80	void __stdcall CDXTexture__Helper_00590f80(void * param_1, int param_2, int param_3)
0x00591060	CDXTexture__Helper_00591060	void CDXTexture__Helper_00591060(void)
0x005928d0	CDXTexture__Helper_005928d0	int __stdcall CDXTexture__Helper_005928d0(void * param_1)
0x00592950	CDXTexture__Helper_00592950	int __stdcall CDXTexture__Helper_00592950(void * param_1, int param_2)
0x00592a80	CDXTexture__Helper_00592a80	void __stdcall CDXTexture__Helper_00592a80(int param_1)
0x00592d45	CDXTexture__Helper_00592d45	void __stdcall CDXTexture__Helper_00592d45(void * param_1, int param_2)
0x00592d63	CDXTexture__Helper_00592d63	void __stdcall CDXTexture__Helper_00592d63(int param_1, int param_2)
0x00592dc2	CDXTexture__Helper_00592dc2	void * __stdcall CDXTexture__Helper_00592dc2(void * param_1, int param_2, int param_3, int param_4)
0x00592eb6	CDXTexture__Helper_00592eb6	void __stdcall CDXTexture__Helper_00592eb6(void * param_1, int param_2)
0x00593024	CDXTexture__Helper_00593024	void __stdcall CDXTexture__Helper_00593024(int param_1, int param_2)
0x00593043	CDXTexture__Helper_00593043	void __stdcall CDXTexture__Helper_00593043(void * param_1, int param_2, int param_3)
0x005935d9	CDXTexture__Helper_005935d9	int __stdcall CDXTexture__Helper_005935d9(int param_1, int param_2)
0x005935f2	CDXTexture__Helper_005935f2	int __stdcall CDXTexture__Helper_005935f2(int param_1, int param_2, void * param_3)
0x0059361e	CDXTexture__Helper_0059361e	int __stdcall CDXTexture__Helper_0059361e(int param_1, int param_2, void * param_3)
0x0059364c	CDXTexture__Helper_0059364c	int CDXTexture__Helper_0059364c(void)
0x0059371d	CDXTexture__Helper_0059371d	int __stdcall CDXTexture__Helper_0059371d(int param_1, int param_2, void * param_3, void * param_4)
0x00593753	CDXTexture__Helper_00593753	int __stdcall CDXTexture__Helper_00593753(int param_1, int param_2, void * param_3, void * param_4, void * param_5)
0x005937bc	CDXTexture__Helper_005937bc	void __stdcall CDXTexture__Helper_005937bc(int param_1)
0x005937c7	CDXTexture__Helper_005937c7	void __stdcall CDXTexture__Helper_005937c7(int param_1)
0x005937db	CDXTexture__Helper_005937db	void __stdcall CDXTexture__Helper_005937db(int param_1)
0x00593812	CDXTexture__Helper_00593812	void __stdcall CDXTexture__Helper_00593812(int param_1, int param_2, int param_3)
0x00593861	CDXTexture__Helper_00593861	void __stdcall CDXTexture__Helper_00593861(void * param_1, void * param_2)
0x00593890	CDXTexture__Helper_00593890	void __stdcall CDXTexture__Helper_00593890(void * param_1, void * param_2)
0x00593951	CDXTexture__Helper_00593951	void __stdcall CDXTexture__Helper_00593951(int param_1, double param_2, double param_3)
0x00593989	CDXTexture__Helper_00593989	void __stdcall CDXTexture__Helper_00593989(int param_1)
0x005942da	CDXTexture__Helper_005942da	void __stdcall CDXTexture__Helper_005942da(void * param_1, int param_2, int param_3, int param_4, int param_5)
0x00594d5c	CDXTexture__Helper_00594d5c	void __stdcall CDXTexture__Helper_00594d5c(void * param_1)
0x00595079	CDXTexture__Helper_00595079	void __stdcall CDXTexture__Helper_00595079(void * param_1, int param_2, int param_3)
0x005950a2	CDXTexture__Helper_005950a2	void __stdcall CDXTexture__Helper_005950a2(int param_1, int param_2, int param_3)
0x005950e0	CDXTexture__Helper_005950e0	int __stdcall CDXTexture__Helper_005950e0(int param_1, uint param_2, uint param_3)
0x0059519a	CDXTexture__Helper_0059519a	void __stdcall CDXTexture__Helper_0059519a(int param_1, int param_2, int param_3)
0x005951e9	CDXTexture__Helper_005951e9	int __stdcall CDXTexture__Helper_005951e9(int param_1)
0x005960c1	CDXTexture__Helper_005960c1	double __stdcall CDXTexture__Helper_005960c1(uint param_1)
0x00596106	CDXTexture__Helper_00596106	float * __stdcall CDXTexture__Helper_00596106(void * param_1, void * param_2)
0x005961d0	CDXTexture__Helper_005961d0	void __stdcall CDXTexture__Helper_005961d0(void * param_1, void * param_2, void * param_3)
0x005962b3	CDXTexture__Helper_005962b3	void __stdcall CDXTexture__Helper_005962b3(void * param_1, void * param_2, void * param_3)
0x0059902a	CDXTexture__Helper_0059902a	int CDXTexture__Helper_0059902a(void)
0x00599406	CDXTexture__Helper_00599406	int __stdcall CDXTexture__Helper_00599406(void * param_1, void * param_2, void * param_3, void * param_4)
0x005994c4	CDXTexture__Helper_005994c4	int CDXTexture__Helper_005994c4(void)
