address	name	signature	status
0x0059c670	CDXTexture__Helper_0059c670	int __stdcall CDXTexture__Helper_0059c670(int param_1, int param_2)	OK
0x0059c690	CDXTexture__Helper_0059c690	int __stdcall CDXTexture__Helper_0059c690(int param_1, int param_2)	OK
0x0059c8ab	CDXTexture__Helper_0059c8ab	void __stdcall CDXTexture__Helper_0059c8ab(int param_1, void * param_2, int param_3)	OK
0x0059c8c1	CDXTexture__Helper_0059c8c1	int __stdcall CDXTexture__Helper_0059c8c1(void * param_1, int param_2)	OK
0x0059cc24	CDXTexture__Helper_0059cc24	int __stdcall CDXTexture__Helper_0059cc24(int param_1)	OK
0x0059cc68	CDXTexture__Helper_0059cc68	void __stdcall CDXTexture__Helper_0059cc68(int param_1)	OK
0x0059ccb3	CDXTexture__Helper_0059ccb3	void __stdcall CDXTexture__Helper_0059ccb3(int param_1, int param_2)	OK
0x0059ce20	CDXTexture__Helper_0059ce20	void __stdcall CDXTexture__Helper_0059ce20(int param_1, void * param_2, uint param_3)	OK
0x0059d036	CDXTexture__Helper_0059d036	void __stdcall CDXTexture__Helper_0059d036(void * param_1, void * param_2, int param_3)	OK
0x0059d301	CDXTexture__Helper_0059d301	void __stdcall CDXTexture__Helper_0059d301(int param_1, int param_2, void * param_3, void * param_4, int param_5)	OK
0x0059d47a	CDXTexture__Helper_0059d47a	void __stdcall CDXTexture__Helper_0059d47a(void * param_1)	OK
0x0059d614	CDXTexture__Helper_0059d614	int __stdcall CDXTexture__Helper_0059d614(void * param_1, uint param_2)	OK
0x0059d699	CDXTexture__Helper_0059d699	void __stdcall CDXTexture__Helper_0059d699(void * param_1, int param_2, int param_3)	OK
0x0059d879	CDXTexture__Helper_0059d879	void __stdcall CDXTexture__Helper_0059d879(void * param_1, int param_2, uint param_3)	OK
0x0059d992	CDXTexture__Helper_0059d992	void __stdcall CDXTexture__Helper_0059d992(void * param_1, int param_2, uint param_3)	OK
0x0059dda2	CDXTexture__Helper_0059dda2	void __thiscall CDXTexture__Helper_0059dda2(void * this, int param_1, void * param_2)	OK
0x0059dfb2	CDXTexture__Helper_0059dfb2	uint __stdcall CDXTexture__Helper_0059dfb2(uint param_1, void * param_2, uint param_3)	OK
0x0059e0b0	CDXTexture__Helper_0059e0b0	void __stdcall CDXTexture__Helper_0059e0b0(int param_1)	OK
0x0059e970	CDXTexture__Helper_0059e970	void CDXTexture__Helper_0059e970(void)	OK
0x0059ee20	CDXTexture__Helper_0059ee20	void __stdcall CDXTexture__Helper_0059ee20(void * param_1, int param_2, uint param_3)	OK
0x0059eed0	CDXTexture__Helper_0059eed0	void __stdcall CDXTexture__Helper_0059eed0(void * param_1)	OK
0x0059ef60	CDXTexture__Helper_0059ef60	void __stdcall CDXTexture__Helper_0059ef60(void * param_1)	OK
0x0059f050	CDXTexture__Helper_0059f050	void __stdcall CDXTexture__Helper_0059f050(void * param_1)	OK
0x0059f110	CDXTexture__Helper_0059f110	void __stdcall CDXTexture__Helper_0059f110(void * param_1)	OK
