target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
00590e10	CDXTexture__Helper_00590e10	0057b0e3	0057af0a	CDXTexture__DecodeJpegFromMemory	UNCONDITIONAL_CALL
00590e10	CDXTexture__Helper_00590e10	0057b12e	0057af0a	CDXTexture__DecodeJpegFromMemory	UNCONDITIONAL_CALL
00590ea0	CDXTexture__Helper_00590ea0	0057afff	0057af0a	CDXTexture__DecodeJpegFromMemory	UNCONDITIONAL_CALL
00590f80	CDXTexture__Helper_00590f80	0057af7e	0057af0a	CDXTexture__DecodeJpegFromMemory	UNCONDITIONAL_CALL
00591060	CDXTexture__Helper_00591060	0059121c	005911d0	CMeshCollisionVolume__Helper_005911d0	UNCONDITIONAL_CALL
005928d0	CDXTexture__Helper_005928d0	00592aa7	00592a80	CDXTexture__Helper_00592a80	DATA
00592950	CDXTexture__Helper_00592950	0057afbb	0057af0a	CDXTexture__DecodeJpegFromMemory	DATA
00592a80	CDXTexture__Helper_00592a80	00591032	00590f80	CDXTexture__Helper_00590f80	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	00592e20	00592dc2	CDXTexture__Helper_00592dc2	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	00592e8e	00592dc2	CDXTexture__Helper_00592dc2	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	00592f20	00592eb6	CDXTexture__Helper_00592eb6	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059300e	00592eb6	CDXTexture__Helper_00592eb6	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059317a	00593043	CDXTexture__Helper_00593043	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	005931ef	00593043	CDXTexture__Helper_00593043	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059324f	00593043	CDXTexture__Helper_00593043	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	00593277	00593043	CDXTexture__Helper_00593043	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	00594d70	00594d5c	CDXTexture__Helper_00594d5c	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	00594e5b	00594d5c	CDXTexture__Helper_00594d5c	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059509a	00595079	CDXTexture__Helper_00595079	UNCONDITIONAL_CALL
00592d45	CDXTexture__Helper_00592d45	0059cca4	0059cc7c	CMeshCollisionVolume__Helper_0059cc7c	UNCONDITIONAL_CALL
