0x005ab420 CTexture__BuildComponentPlaneRowPointers
0x005ad550 CTexture__InitDecodeCallbackTables
0x005aeaf0 CDXTexture__UpsampleChromaLinearHorizontal
0x005aebb0 CDXTexture__UpsampleAndConvertYccToRgb_Mmx
0x005aee40 CDXTexture__UpsampleAndConvertYccToRgb_Scalar
0x005af5f0 CDXTexture__ConvertYccBlocksToRgb_Auto
0x005afcf0 CDXTexture__ConvertYccToRgba_WithLookupTables
0x005afe60 CDXTexture__InitYccLookupTables
0x005d06f0 CRT__InitSehFrameNoop
0x005d0820 CRT__FSeek_UnlockedCore
0x005d08ad CRT__TmpFile_OpenUniqueBinaryStream
0x005d0e88 CRT__WcsNLen
