target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
005ab420	CDXTexture__Helper_005ab420	005aba15	005ab9c0	CTexture__Helper_005ab9c0	UNCONDITIONAL_CALL
005ad550	CDXTexture__Helper_005ad550	0059b2d5	0059b1d0	CTexture__Helper_0059b1d0	UNCONDITIONAL_CALL
005aeaf0	CDXTexture__Helper_005aeaf0	005af5e0	005af570	CTexture__Helper_005af570	UNCONDITIONAL_CALL
005aebb0	CDXTexture__Helper_005aebb0	005af5cc	005af570	CTexture__Helper_005af570	UNCONDITIONAL_CALL
005aee40	CDXTexture__Helper_005aee40	005af65e	005af5f0	CDXTexture__Helper_005af5f0	UNCONDITIONAL_CALL
005af5f0	CDXTexture__Helper_005af5f0	005af79f	005af670	CTexture__Helper_005af670	DATA
005afcf0	CDXTexture__Helper_005afcf0	005b0f78	005b0ee0	CTexture__Helper_005b0ee0	DATA
005afe60	CDXTexture__Helper_005afe60	005b100d	005b0ee0	CTexture__Helper_005b0ee0	UNCONDITIONAL_CALL
005afe60	CDXTexture__Helper_005afe60	005b1029	005b0ee0	CTexture__Helper_005b0ee0	UNCONDITIONAL_CALL
005d06f0	CDXTexture__Helper_005d06f0	005891cb	005891c6	CFastVB__Helper_005891c6	UNCONDITIONAL_CALL
005d0820	CDXTexture__Helper_005d0820	005d0809	005d07f4	CRT__FSeek_Locked	UNCONDITIONAL_CALL
005d08ad	CDXTexture__Helper_005d08ad	005b1d51	005b1d50	CDXTexture__InitHostIoCallbacks	UNCONDITIONAL_CALL
005d0e88	CDXTexture__Helper_005d0e88	005d0d00	005d0c7f	CTexture__Helper_005d0c7f	UNCONDITIONAL_CALL
