0x00569ad5 CRT__BuildRoundedMantissaDigits
0x00569b4c CRT__ConvertLongDoubleToDecimalRecord
0x00569ba8 CRT__NormalizeLongDouble80MantissaExp
0x0056f280 CFastVB__CountWordElements
0x0056f2a0 CFastVB__InsertWordSpanFilled
0x0056f4b0 CFastVB__CopyWordRangeToBufferAndAdvanceEnd
0x0056f500 CFastVB__InitWordSpanHeader
0x0056f540 CFastVB__FindEdgeRecord
0x0056f580 CFastVB__ResolveOppositeAdjacencyRecord
0x0056f5c0 CFastVB__ContainsTriangleTriplet
0x0056f620 CFastVB__BuildTriangleAdjacency
0x0056fce0 CFastVB__SelectTriangleWithMaxOpenEdges
0x0056fdc0 CFastVB__SelectNextStripTriangle
0x0056fe70 CFastVB__AreTriangleVertexSetsEquivalent
0x0056fec0 CFastVB__GetSharedVerticesBetweenTriangles
0x00570000 CFastVB__BuildTriangleStripFromSeedRecord
0x00570870 CFastVB__StampRecordOwnerFields
0x00571060 CFastVB__IsEven
0x00571080 CFastVB__IsDirectedEdgeInTriangle
0x005710d0 CFastVB__EmitTriangleStripIndexBuffer
