0x00593a81 CDXTexture__PngExpandPackedSamplesTo8Bit
0x00593b92 CDXTexture__PngShiftPackedSamplesBySigBits
0x00593d0b CDXTexture__PngStrip16BitSamplesTo8Bit
0x00593d51 CDXTexture__PngInsertFillerChannel
0x00593f8a CDXTexture__PngApplyRowTransformLuts
0x005944e3 CDXTexture__PngExpandTransparentColorToAlpha
0x00594836 CDXTexture__PngConvertRgbRowsToPaletteIndices
0x00595930 CTexture__DeflateConfig_SetPreset
0x00596341 CFastVB__InitMathDispatchTable
0x00596480 CFastVB__PackClampedRgbToR5G6B5
0x005980be CFastVB__InitDispatchTableVariant_005980be
0x0059822c CFastVB__InitDispatchTableVariant_0059822c
0x00598390 CFastVB__DetectCpuFeatureMask
0x0059871c CDXTexture__ReleaseNodePayloadChain
0x0059879e CDXTexture__InvokeNodeScoreOrZero
0x005987d9 CDXTexture__NodePayload__ctor
0x00598a81 CFastVB__NodeType9__ctor
0x00598abd CFastVB__NodeType9__dtor
0x00598da4 CDXTexture__NodeType13__ctor
0x00598ddc CDXTexture__NodeType13__ctorWithRefBump
