target_addr	target_name	from_addr	from_function_addr	from_function	ref_type
005a32d4	CFastVB__Helper_005a32d4	005980e9	005980be	CFastVB__InitDispatchTableVariant_005980be	DATA
005a32d4	CFastVB__Helper_005a32d4	00598257	0059822c	CFastVB__InitDispatchTableVariant_0059822c	DATA
005a3508	CFastVB__Helper_005a3508	0059831e	0059822c	CFastVB__InitDispatchTableVariant_0059822c	DATA
005a36cf	CFastVB__Helper_005a36cf	005982ab	0059822c	CFastVB__InitDispatchTableVariant_0059822c	DATA
005a3791	CFastVB__Helper_005a3791	005982a4	0059822c	CFastVB__InitDispatchTableVariant_0059822c	DATA
005a3980	CFastVB__Helper_005a3980	005986ed	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a40c0	CFastVB__Helper_005a40c0	005986b1	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a4d2c	CFastVB__Helper_005a4d2c	00598553	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a4d98	CFastVB__Helper_005a4d98	005a4efd	005a4ecf	CFastVB__Helper_005a4ecf	UNCONDITIONAL_CALL
005a4d98	CFastVB__Helper_005a4d98	005a4f10	005a4ecf	CFastVB__Helper_005a4ecf	UNCONDITIONAL_CALL
005a4d98	CFastVB__Helper_005a4d98	005a4f46	005a4ecf	CFastVB__Helper_005a4ecf	UNCONDITIONAL_CALL
005a4d98	CFastVB__Helper_005a4d98	005a4f7e	005a4f5c	CFastVB__Helper_005a4f5c	UNCONDITIONAL_CALL
005a4d98	CFastVB__Helper_005a4d98	005a4fa5	005a4f5c	CFastVB__Helper_005a4f5c	UNCONDITIONAL_CALL
005a4d98	CFastVB__Helper_005a4d98	005a4fe1	005a4f5c	CFastVB__Helper_005a4f5c	UNCONDITIONAL_CALL
005a4d98	CFastVB__Helper_005a4d98	00598586	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a4ecf	CFastVB__Helper_005a4ecf	00598590	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a4f5c	CFastVB__Helper_005a4f5c	005985d6	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a5052	CFastVB__Helper_005a5052	00598626	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a519e	CFastVB__Helper_005a519e	0059865f	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a62bf	CFastVB__Helper_005a62bf	005aa333	005aa2f2	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_SIMD	UNCONDITIONAL_CALL
005a647f	CFastVB__Helper_005a647f	005985ae	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a8f5d	CFastVB__Helper_005a8f5d	0059868b	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a8f5d	CFastVB__Helper_005a8f5d	005aa370	005aa2f2	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_SIMD	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005a9979	<none>	<no_function>	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa16a	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa17e	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa1a0	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa1b1	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa1d0	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa1ef	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a9637	CFastVB__Helper_005a9637	005aa21c	005aa0cc	CFastVB__DispatchOp_ComposeTransformFromOptionalInputs_Scalar	UNCONDITIONAL_CALL
005a99f8	CFastVB__Helper_005a99f8	005984b2	00598474	CFastVB__InitDispatchOpsFromFeatureFlags	DATA
005a99f8	CFastVB__Helper_005a99f8	005a44d4	<none>	<no_function>	UNCONDITIONAL_CALL
005a9a5f	CFastVB__Helper_005a9a5f	005a4d48	005a4d2c	CFastVB__Helper_005a4d2c	UNCONDITIONAL_CALL
005a9a5f	CFastVB__Helper_005a9a5f	005a7d19	005a7cf0	CFastVB__DispatchOp_BuildRotationMatrixFromAxisAngleVector	UNCONDITIONAL_CALL
