address	name	signature	status
0x0058c7a4	CTexture__ParseIntegerSuffix_UL	int __thiscall CTexture__ParseIntegerSuffix_UL(void * this, int param_1, void * param_2, void * param_3)	OK
0x0058c893	CTexture__AppendDiagnosticMessage	void __cdecl CTexture__AppendDiagnosticMessage(void * param_1, int param_2, int param_3, int param_4)	OK
0x0058c95c	CTexture__AppendDiagnosticMessageDedup	int __cdecl CTexture__AppendDiagnosticMessageDedup(void * param_1, int param_2, int param_3)	OK
0x0058cc00	CTexture__SkipWhitespaceAndComments	int __fastcall CTexture__SkipWhitespaceAndComments(void * param_1)	OK
0x0058cd30	CTexture__ParseHexIntegerLiteral	int __thiscall CTexture__ParseHexIntegerLiteral(void * this, void * param_1, void * param_2, void * param_3)	OK
0x0058cdd5	CTexture__ParseOctalIntegerLiteral	int __thiscall CTexture__ParseOctalIntegerLiteral(void * this, int param_1, void * param_2, void * param_3)	OK
0x0058ce51	CTexture__ParseDecimalIntegerLiteral	int __thiscall CTexture__ParseDecimalIntegerLiteral(void * this, void * param_1, void * param_2, void * param_3)	OK
0x0058cef2	CTexture__ParseEscapedCharLiteral	int __thiscall CTexture__ParseEscapedCharLiteral(void * this, int param_1, void * param_2, void * param_3)	OK
0x0058d6b4	CTexture__HashIdentifierMod7	uint __stdcall CTexture__HashIdentifierMod7(void * param_1)	OK
0x0058d6f0	CTexture__FindIdentifierInHashTable	int __thiscall CTexture__FindIdentifierInHashTable(void * this, int param_1, int param_2)	OK
0x0058d747	CTexture__ResetParserSemanticValue	void __fastcall CTexture__ResetParserSemanticValue(void * param_1)	OK
0x0058d763	CTexture__ReportYaccSyntaxError	void __cdecl CTexture__ReportYaccSyntaxError(void * param_1, void * param_2)	OK
0x0058d821	CTexture__EmitParserMessageBySeverity	int CTexture__EmitParserMessageBySeverity(void)	OK
0x0058d88d	CTexture__NormalizeParserResultOrReport	int __thiscall CTexture__NormalizeParserResultOrReport(void * this, void * param_1, int param_2)	OK
0x0058d8c2	CTexture__ParseShaderSemanticToken	uint __thiscall CTexture__ParseShaderSemanticToken(void * this, int param_1, void * param_2)	OK
0x0058e256	CTexture__ParseChannelMaskStrict	uint __thiscall CTexture__ParseChannelMaskStrict(void * this, void * param_1, int param_2)	OK
0x0058e309	CTexture__ParseSwizzleMask	uint __thiscall CTexture__ParseSwizzleMask(void * this, void * param_1, int param_2)	OK
0x0058e3c3	CTexture__FlushPendingConstantTableWrites	int __thiscall CTexture__FlushPendingConstantTableWrites(void * this, int param_1, int param_2)	OK
0x0058e413	CTexture__EnsurePendingConstantCapacity	int __thiscall CTexture__EnsurePendingConstantCapacity(void * this, int param_1, int param_2)	OK
0x0058e491	CTexture__AppendPendingConstantEntry	int __thiscall CTexture__AppendPendingConstantEntry(void * this, int param_1, int param_2)	OK
