0x0058c7a4 CTexture__ParseIntegerSuffix_UL
0x0058c893 CTexture__AppendDiagnosticMessage
0x0058c95c CTexture__AppendDiagnosticMessageDedup
0x0058cc00 CTexture__SkipWhitespaceAndComments
0x0058cd30 CTexture__ParseHexIntegerLiteral
0x0058cdd5 CTexture__ParseOctalIntegerLiteral
0x0058ce51 CTexture__ParseDecimalIntegerLiteral
0x0058cef2 CTexture__ParseEscapedCharLiteral
0x0058d6b4 CTexture__HashIdentifierMod7
0x0058d6f0 CTexture__FindIdentifierInHashTable
0x0058d747 CTexture__ResetParserSemanticValue
0x0058d763 CTexture__ReportYaccSyntaxError
0x0058d821 CTexture__EmitParserMessageBySeverity
0x0058d88d CTexture__NormalizeParserResultOrReport
0x0058d8c2 CTexture__ParseShaderSemanticToken
0x0058e256 CTexture__ParseChannelMaskStrict
0x0058e309 CTexture__ParseSwizzleMask
0x0058e3c3 CTexture__FlushPendingConstantTableWrites
0x0058e413 CTexture__EnsurePendingConstantCapacity
0x0058e491 CTexture__AppendPendingConstantEntry
