0x005952e0 CTexture__SetDecodeTableEpoch
0x00595350 CTexture__ProcessDecodeStateMachineStep
0x00595430 CTexture__ResetDecodePipelineForNextChunk
0x005954a0 CTexture__ReadDecodeInputBytes
0x00595550 CTexture__LoadAndScaleQuantizationTable
0x00595820 CTexture__LoadHuffmanTableDefinition
0x005958e0 CTexture__LoadDefaultHuffmanTables
0x00595c10 CTexture__ConfigureDeflatePresetByCompressionMode
0x00595da0 CTexture__InitializeJpegCompressionDefaults
0x00596450 CTexture__PremultiplyAlphaBlock16
0x0059778a CTexture__DecodeDxt3BlockToFloatRgba
0x0059780d CTexture__DecodeDxt5BlockToFloatRgba
0x00597949 CTexture__EncodeDxt5AlphaIndices_ErrorDiffusion
0x00598056 CTexture__EncodeDxt3AlphaBlock
0x0059808a CTexture__EncodeDxt5AlphaBlock
0x00598702 CTexture__NodePayloadBaseCtor
0x0059877e CTexture__NodePayloadNoOp
0x0059877f CTexture__NodePayloadMatchesTypeOrNullIsZero
0x005987f4 CTexture__NodePayloadRecordCtor
0x00598e22 CTexture__Dtor_ReleaseNodePayloadByKind
