0x00599161 CTexture__ComputeDebugChunkDwordCount
0x0059916d CTexture__SerializeDebugChunkSymbolRecords
0x0059930d CTexture__ValidateConstantRegisterDeclarationType
0x005997e1 CTexture__NodeType12_Ctor_DeleteOnFlag
0x00599831 CTexture__NodeType12_Dtor_DeleteOnFlag_Body
0x0059996f CTexture__NodeType12_Ctor_ScalarDeletingDtor
0x005999b5 CTexture__NodeType12_ScalarDeletingDtor_Body
0x0059aec0 CTexture__CanUseCompactDecodePath
0x0059af40 CTexture__ComputeDecodeBlockGeometry
0x0059b150 CTexture__InitDecodeLookupScratchTables
0x0059b1d0 CTexture__InitializeDecodePipelineFromHeader
0x0059b370 CTexture__RunDecodeDispatchStage
0x0059b4d0 CTexture__CreateDecodeDispatchContext
0x0059b6f0 CTexture__BuildComponentPlaneLayoutTables
0x0059b880 CTexture__EnsureComponentDecodeScratchBlocks
0x0059c630 CTexture__AllocJpegQuantTableDescriptor
0x0059c650 CTexture__AllocJpegHuffmanTableDescriptor
0x0059c7cc CDXTexture__InflateInitStateFromHeader
0x0059cd4b CDXTexture__ReadChunkBytesAndUpdateCrc
0x0059dad9 CDXTexture__ParsePngChunk_sRGB
