0x005ab9c0 CDXTexture__InitComponentPlaneRowCache
0x005ac180 CDXTexture__ValidateAndIndexQuantTables
0x005ac930 CDXTexture__SelectColorConvertEntryPoint
0x005ac980 CDXTexture__InitColorConversionResources
0x005acd90 CDXTexture__BitstreamReadBitsWithJpegStuffing
0x005ae190 CDXTexture__InitBlockCoefficientHistory
0x005ae600 CDXTexture__InitPerComponentCoefficientBuffers
0x005ae780 CDXTexture__InitScanlineOutputStage
0x005ae810 CDXTexture__RefillEntropyInputWindow
0x005af570 CDXTexture__UpsampleAndConvertScanlineAdaptive
0x005af670 CDXTexture__InitEntropyDecodeResources
0x005af860 CDXTexture__BuildYccToRgbLookupTables
0x005afbd0 CDXTexture__InterleaveComponentRowsIntoScanline
0x005b0ee0 CDXTexture__InitScanlineColorConverter
0x005b1e16 CDXTexture__InflateBuildFixedHuffmanTables
0x005b1e94 CDXTexture__InflateProcessBlockHeader
0x005b272e CDXTexture__InflateDefaultAllocCallback
0x005b2860 CDXTexture__InitJpegEncoderComponentBuffers
0x005b3080 CDXTexture__InitJpegEncoderWorkingBuffers
0x005b3840 CDXTexture__AccumulateJpegHuffmanFrequenciesFromBlock
