0x0040d120 Vec3__SubtractToOut
0x0040d180 Vec3__Dot
0x00478510 CMeshCollisionVolume__TestSweptSphereAgainstTriangleCore
0x00479020 CMeshCollisionVolume__IsDirectionInsideTrianglePrism
0x00479200 Geometry__SelectClosestPointOnTriangleEdges
0x00479630 Geometry__RaySphereEntryDistance
0x00479770 Geometry__DistanceOutsideAabb
0x0055fa40 CRT__PowDispatch_ST0_ST1
0x00574270 CDXTexture__FindFormatDescriptorById
0x0057430b CDXTexture__SelectBestCompatibleFormat
0x0057a934 CDXTexture__WriteSurfaceAsBmpToHandle
0x0057c28b CDXTexture__WriteDdsSurfaceChainToHandle
0x0057c57d CDXTexture__FlushStreamWriteBufferChunk
0x0057c5b2 CDXTexture__FlushStreamWriteBufferTail
0x0057c5dc CDXTexture__EncodeRgbBufferToJpegStream
0x0057cc5d CDXTexture__ReleaseSurfacePairIfPresent
0x0058877d CDXTexture__OpenOutputFileHandle
0x0058c396 CTexture__InitBufferCursorRange
0x005911d0 CDXTexture__AdvanceJpegDecodeState
0x00592d9e CDXTexture__WarnPngChunkWithFormattedTag
0x00594945 CDXTexture__BuildPngGammaAndExpandTables
0x00594c48 CDXTexture__ApplyPngPostDecodeTransforms
0x0059cc7c CDXTexture__AllocOrThrow
0x0059cd62 CDXTexture__IsPngChunkCrcInvalid
0x005b85c0 Math__Atan2ApproxPacked
0x00576297 CDXTexture__DispatchPtr00656f68_WithInit_Thunk
0x00577267 CDXTexture__DispatchPtr00656f98_WithInit_Thunk
