address	name	signature
0x00402010	CUnit__Helper_00402010	void __fastcall CUnit__Helper_00402010(int param_1)
0x00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)
0x00403650	CMeshRenderer__Helper_00403650	void __thiscall CMeshRenderer__Helper_00403650(void * this, void * param_1, void * param_2)
0x004048f0	CMesh__Helper_004048f0	int __cdecl CMesh__Helper_004048f0(int param_1)
0x00406040	CDXCompass__Helper_00406040	double __fastcall CDXCompass__Helper_00406040(int param_1)
0x004062d0	CSquadNormal__Helper_004062d0	void __thiscall CSquadNormal__Helper_004062d0(void * this, void * param_1, float param_2, float param_3, float param_4)
0x004097a0	CUnit__Helper_004097a0	void __thiscall CUnit__Helper_004097a0(void * this, void * param_1, void * param_2)
0x00409950	CMonitor__Helper_00409950	void __fastcall CMonitor__Helper_00409950(void * param_1)
0x00409e60	CGeneralVolume__Helper_00409e60	double __stdcall CGeneralVolume__Helper_00409e60(float param_1)
0x0040acc0	CBattleEngine__Helper_0040acc0	int __thiscall CBattleEngine__Helper_0040acc0(void * this, void * param_1, void * param_2, int param_3, int param_4)
0x0040b6d0	CBattleEngine__Helper_0040b6d0	void __thiscall CBattleEngine__Helper_0040b6d0(void * this, void * param_1, void * param_2)
0x0040c5b0	CRepairPadAI__Helper_0040c5b0	int __fastcall CRepairPadAI__Helper_0040c5b0(int param_1)
0x0040c5e0	CRepairPadAI__Helper_0040c5e0	int __fastcall CRepairPadAI__Helper_0040c5e0(int param_1)
0x0040c630	CDXCompass__Helper_0040c630	double __fastcall CDXCompass__Helper_0040c630(int param_1)
0x0040d1a0	CMonitor__Helper_0040d1a0	double __fastcall CMonitor__Helper_0040d1a0(void * param_1)
0x0040d1f0	OID__Helper_0040d1f0	void __thiscall OID__Helper_0040d1f0(void * this, void * param_1, float param_2, float param_3, float param_4)
0x0040d2c0	CSquadNormal__Helper_0040d2c0	void __thiscall CSquadNormal__Helper_0040d2c0(void * this, void * param_1, void * param_2, void * param_3)
0x0040d320	CMCBuggy__Helper_0040d320	void __thiscall CMCBuggy__Helper_0040d320(void * this, void * param_1, void * param_2, void * param_3)
0x0040ef20	CMonitor__Helper_0040ef20	void __fastcall CMonitor__Helper_0040ef20(int param_1)
0x00410210	CBattleEngine__Helper_00410210	void * __thiscall CBattleEngine__Helper_00410210(void * this, void * param_1, int param_2)
0x00416280	CBomberGuide__Helper_00416280	void __fastcall CBomberGuide__Helper_00416280(void * param_1)
0x0041ad10	CMCTentacle__Helper_0041ad10	void __thiscall CMCTentacle__Helper_0041ad10(void * this, void * param_1, void * param_2)
0x00423650	PCPlatform__Helper_00423650	float * __fastcall PCPlatform__Helper_00423650(void * param_1)
0x00423680	PCPlatform__Helper_00423680	void __thiscall PCPlatform__Helper_00423680(void * this, int param_1, float param_2)
0x00423720	Platform__Helper_00423720	void __fastcall Platform__Helper_00423720(void * param_1)
