0x004a52d0 CMesh__ClearOut
0x004f2a30 CTexture__ClearOut
0x00501450 CVBufTexture__ClearOut
0x00501730 CVertexShader__ClearOut
0x005492d0 CDXMemoryManager__CalcAndShowDeltas
0x00549310 CDXMemoryManager__LogDebugStats
0x0047ea20 CWorld__GetHeightSamplePacked16
0x00490f50 CWorld__CanLoadMapSection
0x004bc8d0 CWorld__ClearOccupancyBitsUsingHeightBands
0x00490e30 CGame__BuildCellMinMaxHeightTable
0x00490f10 CGame__InitMapLoadStateFlags
0x004e49f0 CGame__IsSpawnAreaClearWithinRadius
0x004e47e0 CGame__CreateRespawnBattleEngineAndEffect
0x004f99b0 CGame__PlayRespawnVoiceCueIfAvailable
0x0044eab0 CFEPMultiplayerStart__GetConfigIdByIndex
0x0044ecf0 CFEPMultiplayerStart__GetConfigCount
0x0044eb30 CFEPMultiplayerStart__SetConfigDescriptionByIndex
0x00450460 CFEPMultiplayerStart__RenderConfigPipRow
0x00452fd0 CFEPMultiplayerStart__RenderSelectionBrackets
0x004530b0 CFEPMultiplayerStart__RenderSelectionMarker
0x0046b950 CFEPMultiplayerStart__LoadPreviewMeshFromConfig
0x0046bab0 CFEPMultiplayerStart__SetPreviewAnimationByName
0x0046bc20 CFEPMultiplayerStart__StopPreviewAnimation
0x00527960 CFEPMultiplayerStart__SetCurrentSelection
0x004e1800 CMonitor__StopSoundEventByOwnerAndName
0x004e1880 CMonitor__FindSoundEventByOwnerAndName
0x004e1ab0 CMonitor__HasAnySoundEventForReaderChain
0x0040ef20 CMonitor__SpawnGroundOrAirImpactEffect
0x0040d1a0 CMonitor__ComputeVectorLengthOrZero
0x00410210 CBattleEngine__InitTargetSetBucketState
0x005061f0 CBattleEngine__DoesTargetMaskMatchProfileByDistance
0x00506350 CBattleEngine__GetProfileField90ByDistance
0x00506440 CBattleEngine__GetProfileField94ByDistance
0x00506530 CBattleEngine__GetProfileFieldA8ByDistance
0x00506620 CBattleEngine__GetProfileField98ByDistance
0x00506710 CBattleEngine__GetProfileField9CByDistance
0x00506800 CBattleEngine__GetProfileFieldA0ByDistance
0x00509c80 CBattleEngine__ComputeProjectileMetricFromTargetProfile
0x004fd3d0 CBattleEngine__IsWeaponModeCompatibleWithMountState
