address	name	signature	status
0x00402020	CGeneralVolume__Helper_00402020	void __fastcall CGeneralVolume__Helper_00402020(int param_1)	OK
0x004048f0	CMesh__Helper_004048f0	int __cdecl CMesh__Helper_004048f0(int param_1)	OK
0x00409e60	CGeneralVolume__Helper_00409e60	double __stdcall CGeneralVolume__Helper_00409e60(float param_1)	OK
0x00423720	Platform__Helper_00423720	void __fastcall Platform__Helper_00423720(void * param_1)	OK
0x00423870	CResourceAccumulator__Helper_00423870	void __thiscall CResourceAccumulator__Helper_00423870(void * this, void * param_1, int param_2)	OK
0x004247a0	CGeneralVolume__Helper_004247a0	void __thiscall CGeneralVolume__Helper_004247a0(void * this, int param_1, float param_2)	OK
0x00424920	CGeneralVolume__Helper_00424920	void __fastcall CGeneralVolume__Helper_00424920(int param_1)	OK
0x00424990	CGeneralVolume__Helper_00424990	void __fastcall CGeneralVolume__Helper_00424990(int param_1)	OK
0x0042d7d0	CFrontEnd__Helper_0042d7d0	void __cdecl CFrontEnd__Helper_0042d7d0(int param_1)	OK
0x00441b80	Platform__Helper_00441b80	void Platform__Helper_00441b80(void)	OK
0x004422d0	CSoundManager__Helper_004422d0	int __fastcall CSoundManager__Helper_004422d0(void * param_1)	OK
0x00442380	CSoundManager__Helper_00442380	void __fastcall CSoundManager__Helper_00442380(void * param_1)	OK
0x00449ef0	CFrontEnd__Helper_00449ef0	void __stdcall CFrontEnd__Helper_00449ef0(void * param_1)	OK
0x0044a0c0	CDXMeshVB__Helper_0044a0c0	double CDXMeshVB__Helper_0044a0c0(void)	OK
0x0044a1f0	CResourceAccumulator__Helper_0044a1f0	void __thiscall CResourceAccumulator__Helper_0044a1f0(void * this, int param_1, int param_2)	OK
0x0044a2a0	CResourceAccumulator__Helper_0044a2a0	void __stdcall CResourceAccumulator__Helper_0044a2a0(int param_1)	OK
0x0044a2c0	CResourceAccumulator__Helper_0044a2c0	void __fastcall CResourceAccumulator__Helper_0044a2c0(int param_1, void * param_2)	OK
